Jour circulation,Depart theo SAT,Depart real SAT,Type,timestamps_secs,Distance,Vitesse,seg_number,reconstructed_times,reconstructed_times_str
15/07/2021,15:51:00,15:53:28,V,58060.0,5950.0,0.0,0.0,58060.0,16:07:40
15/07/2021,15:51:00,15:53:28,V,,5960.0,2.2222222222222223,0.0,58070.382,16:07:50
15/07/2021,15:51:00,15:53:28,V,58076.0,5970.0,2.5,0.0,58076.0,16:07:56
15/07/2021,15:51:00,15:53:28,V,,5980.0,3.611111111111111,0.0,58079.792,16:08:00
15/07/2021,15:51:00,15:53:28,V,,5990.0,4.166666666666667,0.0,58082.363,16:08:02
15/07/2021,15:51:00,15:53:28,V,,6010.0,5.0,0.0,58086.727,16:08:07
15/07/2021,15:51:00,15:53:28,V,,6020.0,5.555555555555555,0.0,58088.621,16:08:09
15/07/2021,15:51:00,15:53:28,V,,6040.0,6.388888888888888,0.0,58091.97,16:08:12
15/07/2021,15:51:00,15:53:28,V,,6060.0,6.944444444444445,0.0,58094.97,16:08:15
15/07/2021,15:51:00,15:53:28,V,,6080.0,7.777777777777778,0.0,58097.687,16:08:18
15/07/2021,15:51:00,15:53:28,V,,6110.0,8.333333333333334,0.0,58101.411,16:08:21
15/07/2021,15:51:00,15:53:28,V,,6200.0,9.166666666666666,0.0,58111.697,16:08:32
15/07/2021,15:51:00,15:53:28,V,,6280.0,9.722222222222221,0.0,58120.168,16:08:40
15/07/2021,15:51:00,15:53:28,V,,6360.0,10.555555555555555,0.0,58128.058,16:08:48
15/07/2021,15:51:00,15:53:28,V,,6410.0,11.11111111111111,0.0,58132.673,16:08:53
15/07/2021,15:51:00,15:53:28,V,,6480.0,11.944444444444445,0.0,58138.746,16:08:59
15/07/2021,15:51:00,15:53:28,V,,6530.0,12.5,0.0,58142.837,16:09:03
15/07/2021,15:51:00,15:53:28,V,,6640.0,13.88888888888889,0.0,58151.173,16:09:11
15/07/2021,15:51:00,15:53:28,V,58160.0,6760.0,15.0,0.0,58160.0,16:09:20
15/07/2021,15:51:00,15:53:28,V,,7000.0,16.666666666666668,0.0,58176.084,16:09:36
15/07/2021,15:51:00,15:53:28,V,,7290.0,18.055555555555554,0.0,58192.788,16:09:53
15/07/2021,15:51:00,15:53:28,V,58204.0,7480.0,18.88888888888889,0.0,58204.0,16:10:04
15/07/2021,15:51:00,15:53:28,V,58206.0,7540.0,18.88888888888889,0.0,58206.0,16:10:06
15/07/2021,15:51:00,15:53:28,V,58208.0,7550.0,18.88888888888889,0.0,58208.0,16:10:08
15/07/2021,15:51:00,15:53:28,V,58230.0,7980.0,18.61111111111111,0.0,58230.0,16:10:30
15/07/2021,15:51:00,15:53:28,V,58232.0,8020.0,18.61111111111111,0.0,58232.0,16:10:32
15/07/2021,15:51:00,15:53:28,V,58234.0,8050.0,18.61111111111111,0.0,58234.0,16:10:34
15/07/2021,15:51:00,15:53:28,V,58236.0,8090.0,17.5,0.0,58236.0,16:10:36
15/07/2021,15:51:00,15:53:28,V,,8110.0,16.666666666666668,0.0,58236.975,16:10:37
15/07/2021,15:51:00,15:53:28,V,58238.0,8130.0,16.11111111111111,0.0,58238.0,16:10:38
15/07/2021,15:51:00,15:53:28,V,58240.0,8170.0,15.555555555555555,0.0,58240.0,16:10:40
15/07/2021,15:51:00,15:53:28,V,,8270.0,15.277777777777777,0.0,58246.619,16:10:47
15/07/2021,15:51:00,15:53:28,V,58256.0,8410.0,15.0,0.0,58256.0,16:10:56
15/07/2021,15:51:00,15:53:28,V,58258.0,8440.0,15.0,0.0,58258.0,16:10:58
15/07/2021,15:51:00,15:53:28,V,58272.0,8640.0,14.722222222222221,0.0,58272.0,16:11:12
15/07/2021,15:51:00,15:53:28,V,58320.0,9380.0,15.833333333333332,0.0,58320.0,16:12:00
15/07/2021,15:51:00,15:53:28,V,58326.0,9460.0,16.11111111111111,0.0,58326.0,16:12:06
15/07/2021,15:51:00,15:53:28,V,58340.0,9680.0,16.11111111111111,0.0,58340.0,16:12:20
15/07/2021,15:51:00,15:53:28,V,58348.0,9810.0,16.38888888888889,0.0,58348.0,16:12:28
15/07/2021,15:51:00,15:53:28,V,58352.0,9870.0,15.555555555555555,0.0,58352.0,16:12:32
15/07/2021,15:51:00,15:53:28,V,,10080.0,16.666666666666668,0.0,58365.405,16:12:45
15/07/2021,15:51:00,15:53:28,V,,10440.0,18.055555555555554,0.0,58386.141,16:13:06
15/07/2021,15:51:00,15:53:28,V,58406.0,10800.0,18.88888888888889,0.0,58406.0,16:13:26
15/07/2021,15:51:00,15:53:28,V,,10960.0,19.444444444444443,0.0,58414.047,16:13:34
15/07/2021,15:51:00,15:53:28,V,,11600.0,20.833333333333332,0.0,58445.827,16:14:06
15/07/2021,15:51:00,15:53:28,V,58464.0,11990.0,21.38888888888889,0.0,58464.0,16:14:24
15/07/2021,15:51:00,15:53:28,V,58476.0,12240.0,21.666666666666668,0.0,58476.0,16:14:36
15/07/2021,15:51:00,15:53:28,V,,12520.0,22.22222222222222,0.0,58489.087,16:14:49
15/07/2021,15:51:00,15:53:28,V,58532.0,13490.0,23.333333333333332,0.0,58532.0,16:15:32
15/07/2021,15:51:00,15:53:28,V,,14010.0,23.61111111111111,0.0,58553.87,16:15:54
15/07/2021,15:51:00,15:53:28,V,58566.0,14310.0,24.72222222222222,0.0,58566.0,16:16:06
15/07/2021,15:51:00,15:53:28,V,,14340.0,25.0,0.0,58567.402,16:16:07
15/07/2021,15:51:00,15:53:28,V,,14610.0,26.38888888888889,0.0,58577.91,16:16:18
15/07/2021,15:51:00,15:53:28,V,58580.0,14660.0,26.38888888888889,0.0,58580.0,16:16:20
15/07/2021,15:51:00,15:53:28,V,58582.0,14700.0,26.38888888888889,0.0,58582.0,16:16:22
