Jour circulation,Depart theo SAT,Depart real SAT,Type,timestamps_secs,Distance,Vitesse,reconstructed_times,reconstructed_times_str,seg_number
02/06/2021,15:51:00,15:51:08,V,,7480.0,0.0,57837.207,16:03:57,
02/06/2021,15:51:00,15:51:08,V,,7490.0,2.2222222222222223,57846.207,16:04:06,
02/06/2021,15:51:00,15:51:08,V,,7500.0,3.611111111111111,57849.636,16:04:10,
02/06/2021,15:51:00,15:51:08,V,,7510.0,4.166666666666667,57852.207,16:04:12,
02/06/2021,15:51:00,15:51:08,V,,7520.0,5.0,57854.389,16:04:14,
02/06/2021,15:51:00,15:51:08,V,,7540.0,5.555555555555555,57858.179,16:04:18,
02/06/2021,15:51:00,15:51:08,V,,7550.0,6.388888888888888,57859.853,16:04:20,
02/06/2021,15:51:00,15:51:08,V,,7580.0,6.944444444444445,57864.353,16:04:24,
02/06/2021,15:51:00,15:51:08,V,57870.0,7620.0,7.222222222222222,57870.0,16:04:30,
02/06/2021,15:51:00,15:51:08,V,57870.0,7620.0,7.222222222222222,57870.0,16:04:30,0.0
02/06/2021,15:51:00,15:51:08,V,,7650.0,7.777777777777778,57874.242,16:04:34,0.0
02/06/2021,15:51:00,15:51:08,V,,7670.0,8.333333333333334,57876.724,16:04:37,0.0
02/06/2021,15:51:00,15:51:08,V,,7700.0,9.166666666666666,57880.153,16:04:40,0.0
02/06/2021,15:51:00,15:51:08,V,,7720.0,9.722222222222221,57882.271,16:04:42,0.0
02/06/2021,15:51:00,15:51:08,V,,7750.0,10.555555555555555,57885.23,16:04:45,0.0
02/06/2021,15:51:00,15:51:08,V,,7780.0,11.11111111111111,57887.999,16:04:48,0.0
02/06/2021,15:51:00,15:51:08,V,,7820.0,11.944444444444445,57891.469,16:04:51,0.0
02/06/2021,15:51:00,15:51:08,V,,7850.0,12.5,57893.923,16:04:54,0.0
02/06/2021,15:51:00,15:51:08,V,,7920.0,13.88888888888889,57899.228,16:04:59,0.0
02/06/2021,15:51:00,15:51:08,V,,8010.0,15.277777777777777,57905.4,16:05:05,0.0
02/06/2021,15:51:00,15:51:08,V,,8110.0,16.666666666666668,57911.661,16:05:12,0.0
02/06/2021,15:51:00,15:51:08,V,57916.0,8180.0,17.5,57916.0,16:05:16,0.0
02/06/2021,15:51:00,15:51:08,V,57918.0,8210.0,17.5,57918.0,16:05:18,0.0
02/06/2021,15:51:00,15:51:08,V,57922.0,8300.0,17.5,57922.0,16:05:22,0.0
02/06/2021,15:51:00,15:51:08,V,57966.0,9020.0,16.11111111111111,57966.0,16:06:06,0.0
02/06/2021,15:51:00,15:51:08,V,57996.0,9520.0,15.833333333333332,57996.0,16:06:36,0.0
02/06/2021,15:51:00,15:51:08,V,57998.0,9540.0,15.833333333333332,57998.0,16:06:38,0.0
02/06/2021,15:51:00,15:51:08,V,58000.0,9570.0,15.833333333333332,58000.0,16:06:40,0.0
02/06/2021,15:51:00,15:51:08,V,58002.0,9600.0,15.833333333333332,58002.0,16:06:42,0.0
02/06/2021,15:51:00,15:51:08,V,58038.0,10190.0,15.555555555555555,58038.0,16:07:18,0.0
02/06/2021,15:51:00,15:51:08,V,,10250.0,15.277777777777777,58042.486,16:07:22,0.0
02/06/2021,15:51:00,15:51:08,V,58058.0,10480.0,15.555555555555555,58058.0,16:07:38,0.0
02/06/2021,15:51:00,15:51:08,V,58086.0,10940.0,15.555555555555555,58086.0,16:08:06,0.0
02/06/2021,15:51:00,15:51:08,V,58090.0,10990.0,15.555555555555555,58090.0,16:08:10,0.0
02/06/2021,15:51:00,15:51:08,V,58092.0,11020.0,15.555555555555555,58092.0,16:08:12,0.0
02/06/2021,15:51:00,15:51:08,V,58132.0,11660.0,15.833333333333332,58132.0,16:08:52,0.0
02/06/2021,15:51:00,15:51:08,V,58134.0,11680.0,15.833333333333332,58134.0,16:08:54,0.0
