Jour circulation,Depart theo SAT,Depart real SAT,Type,timestamps_secs,Distance,Vitesse,reconstructed_times,reconstructed_times_str,seg_number
08/06/2021,11:00:00,10:59:48,V,,492910.0,0.0,39593.6,10:59:54,
08/06/2021,11:00:00,10:59:48,V,39608.0,492920.0,1.3888888888888888,39608.0,11:00:08,
08/06/2021,11:00:00,10:59:48,V,39608.0,492920.0,1.3888888888888888,39608.0,11:00:08,0.0
08/06/2021,11:00:00,10:59:48,V,39622.0,492940.0,1.6666666666666665,39622.0,11:00:22,0.0
08/06/2021,11:00:00,10:59:48,V,39624.0,492950.0,1.6666666666666665,39624.0,11:00:24,0.0
08/06/2021,11:00:00,10:59:48,V,39630.0,492960.0,2.2222222222222223,39630.0,11:00:30,0.0
08/06/2021,11:00:00,10:59:48,V,39654.0,493010.0,2.2222222222222223,39654.0,11:00:54,0.0
08/06/2021,11:00:00,10:59:48,V,39656.0,493020.0,2.2222222222222223,39656.0,11:00:56,0.0
08/06/2021,11:00:00,10:59:48,V,,493030.0,3.611111111111111,39660.49,11:01:00,0.0
08/06/2021,11:00:00,10:59:48,V,,493040.0,4.166666666666667,39663.062,11:01:03,0.0
08/06/2021,11:00:00,10:59:48,V,,493050.0,5.0,39665.244,11:01:05,0.0
08/06/2021,11:00:00,10:59:48,V,,493060.0,5.555555555555555,39667.138,11:01:07,0.0
08/06/2021,11:00:00,10:59:48,V,39670.0,493070.0,5.555555555555555,39670.0,11:01:10,0.0
08/06/2021,11:00:00,10:59:48,V,39672.0,493080.0,5.833333333333333,39672.0,11:01:12,0.0
08/06/2021,11:00:00,10:59:48,V,39674.0,493090.0,6.388888888888888,39674.0,11:01:14,0.0
08/06/2021,11:00:00,10:59:48,V,39676.0,493100.0,6.388888888888888,39676.0,11:01:16,0.0
08/06/2021,11:00:00,10:59:48,V,39680.0,493130.0,6.388888888888888,39680.0,11:01:20,0.0
08/06/2021,11:00:00,10:59:48,V,39682.0,493140.0,6.388888888888888,39682.0,11:01:22,0.0
08/06/2021,11:00:00,10:59:48,V,39686.0,493170.0,6.666666666666666,39686.0,11:01:26,0.0
08/06/2021,11:00:00,10:59:48,V,39688.0,493190.0,6.666666666666666,39688.0,11:01:28,0.0
08/06/2021,11:00:00,10:59:48,V,39692.0,493200.0,6.388888888888888,39692.0,11:01:32,0.0
08/06/2021,11:00:00,10:59:48,V,39694.0,493220.0,6.388888888888888,39694.0,11:01:34,0.0
08/06/2021,11:00:00,10:59:48,V,39696.0,493230.0,6.388888888888888,39696.0,11:01:36,0.0
08/06/2021,11:00:00,10:59:48,V,39700.0,493250.0,6.111111111111111,39700.0,11:01:40,0.0
08/06/2021,11:00:00,10:59:48,V,39702.0,493270.0,6.111111111111111,39702.0,11:01:42,0.0
08/06/2021,11:00:00,10:59:48,V,39710.0,493320.0,6.666666666666666,39710.0,11:01:50,0.0
08/06/2021,11:00:00,10:59:48,V,39712.0,493330.0,6.666666666666666,39712.0,11:01:52,0.0
08/06/2021,11:00:00,10:59:48,V,39716.0,493360.0,6.666666666666666,39716.0,11:01:56,0.0
08/06/2021,11:00:00,10:59:48,V,39718.0,493370.0,6.666666666666666,39718.0,11:01:58,0.0
08/06/2021,11:00:00,10:59:48,V,39720.0,493390.0,6.388888888888888,39720.0,11:02:00,0.0
08/06/2021,11:00:00,10:59:48,V,39722.0,493400.0,6.111111111111111,39722.0,11:02:02,0.0
08/06/2021,11:00:00,10:59:48,V,39724.0,493410.0,6.388888888888888,39724.0,11:02:04,0.0
08/06/2021,11:00:00,10:59:48,V,,493450.0,6.944444444444445,39729.28,11:02:09,0.0
08/06/2021,11:00:00,10:59:48,V,39730.0,493460.0,6.944444444444445,39730.0,11:02:10,0.0
08/06/2021,11:00:00,10:59:48,V,39732.0,493470.0,6.944444444444445,39732.0,11:02:12,0.0
08/06/2021,11:00:00,10:59:48,V,39740.0,493510.0,6.388888888888888,39740.0,11:02:20,0.0
08/06/2021,11:00:00,10:59:48,V,39742.0,493530.0,6.111111111111111,39742.0,11:02:22,0.0
08/06/2021,11:00:00,10:59:48,V,39744.0,493550.0,5.833333333333333,39744.0,11:02:24,0.0
08/06/2021,11:00:00,10:59:48,V,39746.0,493560.0,5.833333333333333,39746.0,11:02:26,0.0
08/06/2021,11:00:00,10:59:48,V,39750.0,493580.0,6.111111111111111,39750.0,11:02:30,0.0
08/06/2021,11:00:00,10:59:48,V,39752.0,493590.0,6.111111111111111,39752.0,11:02:32,0.0
08/06/2021,11:00:00,10:59:48,V,39754.0,493600.0,6.111111111111111,39754.0,11:02:34,0.0
08/06/2021,11:00:00,10:59:48,V,39758.0,493620.0,6.388888888888888,39758.0,11:02:38,0.0
08/06/2021,11:00:00,10:59:48,V,39760.0,493640.0,6.388888888888888,39760.0,11:02:40,0.0
08/06/2021,11:00:00,10:59:48,V,39762.0,493650.0,6.666666666666666,39762.0,11:02:42,0.0
08/06/2021,11:00:00,10:59:48,V,39764.0,493660.0,6.666666666666666,39764.0,11:02:44,0.0
08/06/2021,11:00:00,10:59:48,V,39766.0,493670.0,6.666666666666666,39766.0,11:02:46,0.0
08/06/2021,11:00:00,10:59:48,V,39768.0,493690.0,6.666666666666666,39768.0,11:02:48,0.0
08/06/2021,11:00:00,10:59:48,V,39772.0,493710.0,6.388888888888888,39772.0,11:02:52,0.0
08/06/2021,11:00:00,10:59:48,V,39774.0,493730.0,6.666666666666666,39774.0,11:02:54,0.0
08/06/2021,11:00:00,10:59:48,V,,493790.0,6.944444444444445,39782.528,11:03:03,0.0
08/06/2021,11:00:00,10:59:48,V,39788.0,493830.0,6.944444444444445,39788.0,11:03:08,0.0
08/06/2021,11:00:00,10:59:48,V,39792.0,493860.0,7.222222222222222,39792.0,11:03:12,0.0
08/06/2021,11:00:00,10:59:48,V,39796.0,493870.0,7.5,39796.0,11:03:16,0.0
08/06/2021,11:00:00,10:59:48,V,,493890.0,8.333333333333334,39797.56,11:03:18,0.0
08/06/2021,11:00:00,10:59:48,V,,493910.0,9.166666666666666,39799.846,11:03:20,0.0
08/06/2021,11:00:00,10:59:48,V,,493920.0,9.722222222222221,39800.905,11:03:21,0.0
08/06/2021,11:00:00,10:59:48,V,,493930.0,10.555555555555555,39801.891,11:03:22,0.0
08/06/2021,11:00:00,10:59:48,V,,493940.0,11.11111111111111,39802.814,11:03:23,0.0
08/06/2021,11:00:00,10:59:48,V,,493970.0,11.944444444444445,39805.417,11:03:25,0.0
08/06/2021,11:00:00,10:59:48,V,,493990.0,12.5,39807.053,11:03:27,0.0
08/06/2021,11:00:00,10:59:48,V,39810.0,494040.0,13.055555555555555,39810.0,11:03:30,0.0
08/06/2021,11:00:00,10:59:48,V,39812.0,494060.0,13.055555555555555,39812.0,11:03:32,0.0
08/06/2021,11:00:00,10:59:48,V,39814.0,494090.0,13.055555555555555,39814.0,11:03:34,0.0
08/06/2021,11:00:00,10:59:48,V,39816.0,494120.0,13.055555555555555,39816.0,11:03:36,0.0
08/06/2021,11:00:00,10:59:48,V,,494150.0,13.88888888888889,39818.401,11:03:38,0.0
08/06/2021,11:00:00,10:59:48,V,39820.0,494170.0,14.166666666666666,39820.0,11:03:40,0.0
08/06/2021,11:00:00,10:59:48,V,39822.0,494190.0,14.722222222222221,39822.0,11:03:42,0.0
08/06/2021,11:00:00,10:59:48,V,,494220.0,15.277777777777777,39824.027,11:03:44,0.0
08/06/2021,11:00:00,10:59:48,V,39826.0,494250.0,15.555555555555555,39826.0,11:03:46,0.0
08/06/2021,11:00:00,10:59:48,V,39828.0,494280.0,15.555555555555555,39828.0,11:03:48,0.0
08/06/2021,11:00:00,10:59:48,V,39838.0,494440.0,15.555555555555555,39838.0,11:03:58,0.0
08/06/2021,11:00:00,10:59:48,V,39840.0,494470.0,15.833333333333332,39840.0,11:04:00,0.0
08/06/2021,11:00:00,10:59:48,V,,494530.0,16.666666666666668,39843.588,11:04:04,0.0
08/06/2021,11:00:00,10:59:48,V,,494580.0,18.055555555555554,39846.468,11:04:06,0.0
08/06/2021,11:00:00,10:59:48,V,39848.0,494610.0,18.61111111111111,39848.0,11:04:08,0.0
08/06/2021,11:00:00,10:59:48,V,39850.0,494650.0,18.61111111111111,39850.0,11:04:10,0.0
08/06/2021,11:00:00,10:59:48,V,39854.0,494740.0,18.88888888888889,39854.0,11:04:14,0.0
08/06/2021,11:00:00,10:59:48,V,39856.0,494780.0,18.88888888888889,39856.0,11:04:16,0.0
08/06/2021,11:00:00,10:59:48,V,39858.0,494790.0,18.88888888888889,39858.0,11:04:18,0.0
08/06/2021,11:00:00,10:59:48,V,39860.0,494840.0,18.88888888888889,39860.0,11:04:20,0.0
08/06/2021,11:00:00,10:59:48,V,39862.0,494880.0,19.166666666666668,39862.0,11:04:22,0.0
08/06/2021,11:00:00,10:59:48,V,,494920.0,19.444444444444443,39864.525,11:04:25,0.0
08/06/2021,11:00:00,10:59:48,V,,495040.0,20.833333333333332,39870.484,11:04:30,0.0
08/06/2021,11:00:00,10:59:48,V,,495140.0,22.22222222222222,39875.129,11:04:35,0.0
08/06/2021,11:00:00,10:59:48,V,39880.0,495240.0,23.055555555555554,39880.0,11:04:40,0.0
08/06/2021,11:00:00,10:59:48,V,39882.0,495290.0,22.77777777777778,39882.0,11:04:42,0.0
08/06/2021,11:00:00,10:59:48,V,39886.0,495410.0,22.77777777777778,39886.0,11:04:46,0.0
08/06/2021,11:00:00,10:59:48,V,39888.0,495450.0,22.77777777777778,39888.0,11:04:48,0.0
08/06/2021,11:00:00,10:59:48,V,39890.0,495460.0,22.77777777777778,39890.0,11:04:50,0.0
08/06/2021,11:00:00,10:59:48,V,39892.0,495510.0,22.77777777777778,39892.0,11:04:52,0.0
08/06/2021,11:00:00,10:59:48,V,,495670.0,23.61111111111111,39898.775,11:04:59,0.0
08/06/2021,11:00:00,10:59:48,V,39902.0,495750.0,24.166666666666664,39902.0,11:05:02,0.0
08/06/2021,11:00:00,10:59:48,V,39904.0,495800.0,24.166666666666664,39904.0,11:05:04,0.0
08/06/2021,11:00:00,10:59:48,V,39918.0,496160.0,23.61111111111111,39918.0,11:05:18,0.0
08/06/2021,11:00:00,10:59:48,V,39920.0,496200.0,23.61111111111111,39920.0,11:05:20,0.0
08/06/2021,11:00:00,10:59:48,V,39922.0,496210.0,23.61111111111111,39922.0,11:05:22,0.0
08/06/2021,11:00:00,10:59:48,V,39930.0,496420.0,23.333333333333332,39930.0,11:05:30,0.0
08/06/2021,11:00:00,10:59:48,V,39932.0,496450.0,23.333333333333332,39932.0,11:05:32,0.0
08/06/2021,11:00:00,10:59:48,V,39940.0,496680.0,23.61111111111111,39940.0,11:05:40,0.0
08/06/2021,11:00:00,10:59:48,V,39942.0,496690.0,23.61111111111111,39942.0,11:05:42,0.0
08/06/2021,11:00:00,10:59:48,V,39946.0,496790.0,23.88888888888889,39946.0,11:05:46,0.0
08/06/2021,11:00:00,10:59:48,V,39948.0,496840.0,23.88888888888889,39948.0,11:05:48,0.0
08/06/2021,11:00:00,10:59:48,V,39950.0,496900.0,23.88888888888889,39950.0,11:05:50,0.0
08/06/2021,11:00:00,10:59:48,V,39952.0,496940.0,23.61111111111111,39952.0,11:05:52,0.0
08/06/2021,11:00:00,10:59:48,V,39960.0,497170.0,24.444444444444443,39960.0,11:06:00,0.0
08/06/2021,11:00:00,10:59:48,V,39962.0,497210.0,24.72222222222222,39962.0,11:06:02,0.0
08/06/2021,11:00:00,10:59:48,V,39964.0,497220.0,24.444444444444443,39964.0,11:06:04,0.0
08/06/2021,11:00:00,10:59:48,V,39966.0,497270.0,24.444444444444443,39966.0,11:06:06,0.0
08/06/2021,11:00:00,10:59:48,V,39968.0,497320.0,24.72222222222222,39968.0,11:06:08,0.0
08/06/2021,11:00:00,10:59:48,V,,497380.0,25.0,39969.534,11:06:10,0.0
08/06/2021,11:00:00,10:59:48,V,,497530.0,26.38888888888889,39975.372,11:06:15,0.0
08/06/2021,11:00:00,10:59:48,V,39976.0,497570.0,26.666666666666664,39976.0,11:06:16,0.0
08/06/2021,11:00:00,10:59:48,V,39978.0,497580.0,26.666666666666664,39978.0,11:06:18,0.0
08/06/2021,11:00:00,10:59:48,V,39980.0,497630.0,27.22222222222222,39980.0,11:06:20,0.0
08/06/2021,11:00:00,10:59:48,V,,497670.0,27.77777777777778,39980.779,11:06:21,0.0
