Jour circulation,Depart theo SAT,Depart real SAT,Type,timestamps_secs,Distance,Vitesse,seg_number,reconstructed_times,reconstructed_times_str
08/06/2021,15:51:00,15:53:12,V,57852.0,3485360.0,0.0,0.0,57852.0,16:04:12
08/06/2021,15:51:00,15:53:12,V,,3485370.0,2.2222222222222223,0.0,57860.535,16:04:21
08/06/2021,15:51:00,15:53:12,V,,3485380.0,2.7777777777777777,0.0,57864.535,16:04:25
08/06/2021,15:51:00,15:53:12,V,,3485390.0,3.611111111111111,0.0,57867.665,16:04:28
08/06/2021,15:51:00,15:53:12,V,57872.0,3485410.0,4.722222222222222,0.0,57872.0,16:04:32
08/06/2021,15:51:00,15:53:12,V,57878.0,3485430.0,4.722222222222222,0.0,57878.0,16:04:38
08/06/2021,15:51:00,15:53:12,V,57880.0,3485440.0,4.722222222222222,0.0,57880.0,16:04:40
08/06/2021,15:51:00,15:53:12,V,,3485450.0,5.0,0.0,57881.5,16:04:42
08/06/2021,15:51:00,15:53:12,V,,3485470.0,5.555555555555555,0.0,57885.289,16:04:45
08/06/2021,15:51:00,15:53:12,V,57890.0,3485500.0,5.833333333333333,0.0,57890.0,16:04:50
08/06/2021,15:51:00,15:53:12,V,,3485520.0,6.388888888888888,0.0,57894.489,16:04:54
08/06/2021,15:51:00,15:53:12,V,,3485540.0,6.944444444444445,0.0,57897.489,16:04:57
08/06/2021,15:51:00,15:53:12,V,,3485570.0,7.777777777777778,0.0,57901.564,16:05:02
08/06/2021,15:51:00,15:53:12,V,,3485590.0,8.333333333333334,0.0,57904.047,16:05:04
08/06/2021,15:51:00,15:53:12,V,,3485610.0,9.166666666666666,0.0,57906.333,16:05:06
08/06/2021,15:51:00,15:53:12,V,,3485630.0,9.722222222222221,0.0,57908.45,16:05:08
08/06/2021,15:51:00,15:53:12,V,,3485660.0,10.555555555555555,0.0,57911.409,16:05:11
08/06/2021,15:51:00,15:53:12,V,,3485680.0,11.11111111111111,0.0,57913.255,16:05:13
08/06/2021,15:51:00,15:53:12,V,,3485700.0,11.944444444444445,0.0,57914.99,16:05:15
08/06/2021,15:51:00,15:53:12,V,,3485720.0,12.5,0.0,57916.627,16:05:17
08/06/2021,15:51:00,15:53:12,V,,3485780.0,13.88888888888889,0.0,57921.174,16:05:21
08/06/2021,15:51:00,15:53:12,V,,3485840.0,15.277777777777777,0.0,57925.288,16:05:25
08/06/2021,15:51:00,15:53:12,V,,3485920.0,16.666666666666668,0.0,57930.297,16:05:30
08/06/2021,15:51:00,15:53:12,V,,3486020.0,18.055555555555554,0.0,57936.057,16:05:36
08/06/2021,15:51:00,15:53:12,V,57940.0,3486070.0,18.61111111111111,0.0,57940.0,16:05:40
08/06/2021,15:51:00,15:53:12,V,57944.0,3486180.0,18.333333333333332,0.0,57944.0,16:05:44
08/06/2021,15:51:00,15:53:12,V,57960.0,3486450.0,17.77777777777778,0.0,57960.0,16:06:00
08/06/2021,15:51:00,15:53:12,V,57962.0,3486500.0,17.77777777777778,0.0,57962.0,16:06:02
08/06/2021,15:51:00,15:53:12,V,57968.0,3486570.0,18.055555555555554,0.0,57968.0,16:06:08
08/06/2021,15:51:00,15:53:12,V,57980.0,3486810.0,17.5,0.0,57980.0,16:06:20
