Jour circulation,Depart theo SAT,Depart real SAT,Type,timestamps_secs,Distance,Vitesse,seg_number,reconstructed_times,reconstructed_times_str
01/06/2021,11:00:00,10:59:54,V,39598.0,491600.0,0.0,0.0,39598.0,10:59:58
01/06/2021,11:00:00,10:59:54,V,,491610.0,2.2222222222222223,0.0,39608.703,11:00:09
01/06/2021,11:00:00,10:59:54,V,,491620.0,2.7777777777777777,0.0,39612.703,11:00:13
01/06/2021,11:00:00,10:59:54,V,,491640.0,3.611111111111111,0.0,39618.964,11:00:19
01/06/2021,11:00:00,10:59:54,V,39626.0,491660.0,3.888888888888889,0.0,39626.0,11:00:26
01/06/2021,11:00:00,10:59:54,V,39628.0,491670.0,4.166666666666667,0.0,39628.0,11:00:28
01/06/2021,11:00:00,10:59:54,V,39640.0,491710.0,3.888888888888889,0.0,39640.0,11:00:40
01/06/2021,11:00:00,10:59:54,V,39642.0,491720.0,3.888888888888889,0.0,39642.0,11:00:42
01/06/2021,11:00:00,10:59:54,V,,491770.0,5.0,0.0,39653.625,11:00:54
01/06/2021,11:00:00,10:59:54,V,39656.0,491780.0,5.0,0.0,39656.0,11:00:56
01/06/2021,11:00:00,10:59:54,V,,491800.0,5.555555555555555,0.0,39659.163,11:00:59
01/06/2021,11:00:00,10:59:54,V,,491830.0,6.388888888888888,0.0,39664.186,11:01:04
01/06/2021,11:00:00,10:59:54,V,,491850.0,6.944444444444445,0.0,39667.186,11:01:07
01/06/2021,11:00:00,10:59:54,V,39668.0,491860.0,6.944444444444445,0.0,39668.0,11:01:08
01/06/2021,11:00:00,10:59:54,V,39672.0,491890.0,7.5,0.0,39672.0,11:01:12
01/06/2021,11:00:00,10:59:54,V,39674.0,491900.0,7.5,0.0,39674.0,11:01:14
01/06/2021,11:00:00,10:59:54,V,,492030.0,6.111111111111111,0.0,39692.733,11:01:33
01/06/2021,11:00:00,10:59:54,V,39694.0,492040.0,6.111111111111111,0.0,39694.0,11:01:34
01/06/2021,11:00:00,10:59:54,V,39696.0,492050.0,6.111111111111111,0.0,39696.0,11:01:36
01/06/2021,11:00:00,10:59:54,V,39700.0,492080.0,6.388888888888888,0.0,39700.0,11:01:40
01/06/2021,11:00:00,10:59:54,V,,492090.0,6.944444444444445,0.0,39702.044,11:01:42
01/06/2021,11:00:00,10:59:54,V,39704.0,492100.0,7.222222222222222,0.0,39704.0,11:01:44
01/06/2021,11:00:00,10:59:54,V,,492120.0,7.777777777777778,0.0,39706.69,11:01:47
01/06/2021,11:00:00,10:59:54,V,39708.0,492130.0,7.777777777777778,0.0,39708.0,11:01:48
01/06/2021,11:00:00,10:59:54,V,39710.0,492150.0,7.777777777777778,0.0,39710.0,11:01:50
01/06/2021,11:00:00,10:59:54,V,39716.0,492190.0,7.222222222222222,0.0,39716.0,11:01:56
01/06/2021,11:00:00,10:59:54,V,39718.0,492210.0,7.222222222222222,0.0,39718.0,11:01:58
01/06/2021,11:00:00,10:59:54,V,,492220.0,6.944444444444445,0.0,39718.986,11:01:59
01/06/2021,11:00:00,10:59:54,V,39720.0,492230.0,6.944444444444445,0.0,39720.0,11:02:00
01/06/2021,11:00:00,10:59:54,V,,492280.0,7.777777777777778,0.0,39726.934,11:02:07
01/06/2021,11:00:00,10:59:54,V,,492310.0,8.333333333333334,0.0,39730.658,11:02:11
01/06/2021,11:00:00,10:59:54,V,39732.0,492320.0,8.333333333333334,0.0,39732.0,11:02:12
01/06/2021,11:00:00,10:59:54,V,39734.0,492330.0,8.333333333333334,0.0,39734.0,11:02:14
01/06/2021,11:00:00,10:59:54,V,39736.0,492350.0,8.333333333333334,0.0,39736.0,11:02:16
01/06/2021,11:00:00,10:59:54,V,39738.0,492360.0,8.333333333333334,0.0,39738.0,11:02:18
01/06/2021,11:00:00,10:59:54,V,39740.0,492380.0,8.055555555555555,0.0,39740.0,11:02:20
01/06/2021,11:00:00,10:59:54,V,,492420.0,9.166666666666666,0.0,39744.955,11:02:25
01/06/2021,11:00:00,10:59:54,V,,492440.0,9.722222222222221,0.0,39747.073,11:02:27
01/06/2021,11:00:00,10:59:54,V,,492470.0,10.555555555555555,0.0,39750.032,11:02:30
01/06/2021,11:00:00,10:59:54,V,,492500.0,11.11111111111111,0.0,39752.801,11:02:33
01/06/2021,11:00:00,10:59:54,V,39754.0,492510.0,11.38888888888889,0.0,39754.0,11:02:34
01/06/2021,11:00:00,10:59:54,V,,492540.0,12.5,0.0,39756.289,11:02:36
01/06/2021,11:00:00,10:59:54,V,,492600.0,13.88888888888889,0.0,39760.836,11:02:41
01/06/2021,11:00:00,10:59:54,V,,492660.0,15.277777777777777,0.0,39764.95,11:02:45
01/06/2021,11:00:00,10:59:54,V,,492730.0,16.666666666666668,0.0,39769.333,11:02:49
01/06/2021,11:00:00,10:59:54,V,,492840.0,18.055555555555554,0.0,39775.669,11:02:56
01/06/2021,11:00:00,10:59:54,V,39776.0,492850.0,18.055555555555554,0.0,39776.0,11:02:56
01/06/2021,11:00:00,10:59:54,V,39778.0,492880.0,18.333333333333332,0.0,39778.0,11:02:58
01/06/2021,11:00:00,10:59:54,V,39780.0,492930.0,19.166666666666668,0.0,39780.0,11:03:00
01/06/2021,11:00:00,10:59:54,V,39782.0,492950.0,19.166666666666668,0.0,39782.0,11:03:02
01/06/2021,11:00:00,10:59:54,V,,493130.0,20.833333333333332,0.0,39790.995,11:03:11
01/06/2021,11:00:00,10:59:54,V,,493270.0,22.22222222222222,0.0,39797.498,11:03:17
01/06/2021,11:00:00,10:59:54,V,,493390.0,23.61111111111111,0.0,39802.735,11:03:23
01/06/2021,11:00:00,10:59:54,V,39804.0,493420.0,23.61111111111111,0.0,39804.0,11:03:24
01/06/2021,11:00:00,10:59:54,V,39806.0,493460.0,24.166666666666664,0.0,39806.0,11:03:26
01/06/2021,11:00:00,10:59:54,V,,493550.0,25.0,0.0,39808.841,11:03:29
01/06/2021,11:00:00,10:59:54,V,,493790.0,26.38888888888889,0.0,39818.181,11:03:38
01/06/2021,11:00:00,10:59:54,V,39820.0,493860.0,26.666666666666664,0.0,39820.0,11:03:40
01/06/2021,11:00:00,10:59:54,V,39822.0,493870.0,26.666666666666664,0.0,39822.0,11:03:42
01/06/2021,11:00:00,10:59:54,V,39824.0,493930.0,26.666666666666664,0.0,39824.0,11:03:44
01/06/2021,11:00:00,10:59:54,V,39830.0,494090.0,26.38888888888889,0.0,39830.0,11:03:50
01/06/2021,11:00:00,10:59:54,V,39832.0,494150.0,26.38888888888889,0.0,39832.0,11:03:52
01/06/2021,11:00:00,10:59:54,V,39834.0,494200.0,26.38888888888889,0.0,39834.0,11:03:54
01/06/2021,11:00:00,10:59:54,V,,494480.0,27.77777777777778,0.0,39844.04,11:04:04
01/06/2021,11:00:00,10:59:54,V,,494790.0,29.166666666666664,0.0,39854.927,11:04:15
01/06/2021,11:00:00,10:59:54,V,39856.0,494830.0,29.166666666666664,0.0,39856.0,11:04:16
01/06/2021,11:00:00,10:59:54,V,39858.0,494870.0,29.444444444444443,0.0,39858.0,11:04:18
01/06/2021,11:00:00,10:59:54,V,39860.0,494910.0,29.444444444444443,0.0,39860.0,11:04:20
01/06/2021,11:00:00,10:59:54,V,,495130.0,30.555555555555554,0.0,39867.115,11:04:27
01/06/2021,11:00:00,10:59:54,V,39874.0,495350.0,31.38888888888889,0.0,39874.0,11:04:34
01/06/2021,11:00:00,10:59:54,V,39878.0,495460.0,31.666666666666664,0.0,39878.0,11:04:38
01/06/2021,11:00:00,10:59:54,V,,495530.0,31.944444444444443,0.0,39879.944,11:04:40
01/06/2021,11:00:00,10:59:54,V,39880.0,495540.0,31.944444444444443,0.0,39880.0,11:04:40
01/06/2021,11:00:00,10:59:54,V,39882.0,495640.0,32.5,0.0,39882.0,11:04:42
01/06/2021,11:00:00,10:59:54,V,39884.0,495700.0,32.22222222222222,0.0,39884.0,11:04:44
01/06/2021,11:00:00,10:59:54,V,39900.0,496220.0,32.22222222222222,0.0,39900.0,11:05:00
01/06/2021,11:00:00,10:59:54,V,39902.0,496240.0,32.22222222222222,0.0,39902.0,11:05:02
01/06/2021,11:00:00,10:59:54,V,39904.0,496310.0,32.22222222222222,0.0,39904.0,11:05:04
01/06/2021,11:00:00,10:59:54,V,,496550.0,33.333333333333336,0.0,39911.18,11:05:11
01/06/2021,11:00:00,10:59:54,V,39922.0,496920.0,34.166666666666664,0.0,39922.0,11:05:22
01/06/2021,11:00:00,10:59:54,V,39924.0,496970.0,34.166666666666664,0.0,39924.0,11:05:24
