"","Jour.circulation","Depart.theo.SAT","Depart.real.SAT","Heure.franchissement","CumDist","Duration","Vitesse","Interpolated"
"1","09/06/2021",15.85,15.8488888888889,16.0663888888889,0,0,0,"Yes"
"2","09/06/2021",15.85,15.8488888888889,16.0688888888889,0.01,0.150000000000077,8,"Yes"
"3","09/06/2021",15.85,15.8488888888889,16.0697222222222,0.02,0.200000000000031,13,"Yes"
"4","09/06/2021",15.85,15.8488888888889,16.0705555555556,0.03,0.249999999999986,15,"Yes"
"5","09/06/2021",15.85,15.8488888888889,16.0711111111111,0.04,0.283333333333431,18,"Yes"
"6","09/06/2021",15.85,15.8488888888889,16.0716666666667,0.05,0.316666666666663,20,"Yes"
"7","09/06/2021",15.85,15.8488888888889,16.0725,0.07,0.366666666666831,23,"Yes"
"8","09/06/2021",15.85,15.8488888888889,16.0733333333333,0.09,0.416666666666785,25,"Yes"
"9","09/06/2021",15.85,15.8488888888889,16.0741666666667,0.11,0.46666666666674,28,"Yes"
"10","09/06/2021",15.85,15.8488888888889,16.0744444444444,0.12,0.483333333333462,28,"No"
"11","09/06/2021",15.85,15.8488888888889,16.0744444444444,0.12,0.483333333333462,28,"No"
"12","09/06/2021",15.85,15.8488888888889,16.075,0.14,0.516666666666694,29,"No"
"13","09/06/2021",15.85,15.8488888888889,16.0761111111111,0.17,0.583333333333371,29,"No"
"14","09/06/2021",15.85,15.8488888888889,16.0772222222222,0.2,0.650000000000048,33,"Yes"
"15","09/06/2021",15.85,15.8488888888889,16.0775,0.21,0.666666666666771,35,"Yes"
"16","09/06/2021",15.85,15.8488888888889,16.0780555555556,0.23,0.700000000000003,38,"Yes"
"17","09/06/2021",15.85,15.8488888888889,16.0786111111111,0.25,0.733333333333448,40,"Yes"
"18","09/06/2021",15.85,15.8488888888889,16.0791666666667,0.28,0.76666666666668,43,"Yes"
"19","09/06/2021",15.85,15.8488888888889,16.0794444444444,0.29,0.783333333333402,45,"Yes"
