"","Jour.circulation","Depart.theo.SAT","Depart.real.SAT","Heure.franchissement","CumDist","Duration","Vitesse","Interpolated"
"1","01/06/2021",15.85,15.8483333333333,16.0680555555556,0,0,0,"Yes"
"2","01/06/2021",15.85,15.8483333333333,16.0705555555556,0.01,0.149999999999864,8,"Yes"
"3","01/06/2021",15.85,15.8483333333333,16.0716666666667,0.02,0.216666666666541,10,"Yes"
"4","01/06/2021",15.85,15.8483333333333,16.0725,0.03,0.266666666666708,13,"Yes"
"5","01/06/2021",15.85,15.8483333333333,16.0730555555556,0.04,0.29999999999994,15,"Yes"
"6","01/06/2021",15.85,15.8483333333333,16.0744444444444,0.06,0.38333333333334,18,"Yes"
"7","01/06/2021",15.85,15.8483333333333,16.0755555555556,0.08,0.450000000000017,20,"Yes"
"8","01/06/2021",15.85,15.8483333333333,16.0769444444444,0.11,0.533333333333204,23,"Yes"
"9","01/06/2021",15.85,15.8483333333333,16.0780555555556,0.14,0.599999999999881,25,"Yes"
"10","01/06/2021",15.85,15.8483333333333,16.0822222222222,0.25,0.849999999999866,28,"Yes"
"11","01/06/2021",15.85,15.8483333333333,16.085,0.33,1.01666666666667,30,"Yes"
"12","01/06/2021",15.85,15.8483333333333,16.0866666666667,0.38,1.11666666666657,33,"Yes"
"13","01/06/2021",15.85,15.8483333333333,16.0872222222222,0.4,1.15000000000002,35,"Yes"
"14","01/06/2021",15.85,15.8483333333333,16.0877777777778,0.42,1.18333333333325,38,"Yes"
"15","01/06/2021",15.85,15.8483333333333,16.0883333333333,0.44,1.2166666666667,40,"Yes"
"16","01/06/2021",15.85,15.8483333333333,16.0891666666667,0.48,1.26666666666665,43,"Yes"
"17","01/06/2021",15.85,15.8483333333333,16.0897222222222,0.5,1.29999999999988,45,"Yes"
"18","01/06/2021",15.85,15.8483333333333,16.0911111111111,0.57,1.38333333333328,50,"Yes"
"19","01/06/2021",15.85,15.8483333333333,16.0927777777778,0.65,1.48333333333319,55,"Yes"
"20","01/06/2021",15.85,15.8483333333333,16.0938888888889,0.72,1.54999999999987,58,"No"
"21","01/06/2021",15.85,15.8483333333333,16.0938888888889,0.72,1.54999999999987,58,"No"
"22","01/06/2021",15.85,15.8483333333333,16.0944444444444,0.73,1.58333333333331,58,"No"
"23","01/06/2021",15.85,15.8483333333333,16.0955555555556,0.81,1.64999999999999,57,"No"
"24","01/06/2021",15.85,15.8483333333333,16.1005555555556,1.07,1.94999999999993,55,"No"
"25","01/06/2021",15.85,15.8483333333333,16.1011111111111,1.11,1.98333333333338,55,"No"
"26","01/06/2021",15.85,15.8483333333333,16.105,1.34,2.21666666666664,60,"Yes"
"27","01/06/2021",15.85,15.8483333333333,16.1080555555556,1.53,2.39999999999995,65,"Yes"
"28","01/06/2021",15.85,15.8483333333333,16.1083333333333,1.54,2.41666666666667,65,"No"
"29","01/06/2021",15.85,15.8483333333333,16.1088888888889,1.57,2.4499999999999,66,"No"
"30","01/06/2021",15.85,15.8483333333333,16.1094444444444,1.6,2.48333333333335,66,"No"
"31","01/06/2021",15.85,15.8483333333333,16.1155555555556,2.03,2.84999999999997,65,"No"
"32","01/06/2021",15.85,15.8483333333333,16.1161111111111,2.05,2.8833333333332,65,"No"
"33","01/06/2021",15.85,15.8483333333333,16.1172222222222,2.12,2.94999999999987,64,"No"
"34","01/06/2021",15.85,15.8483333333333,16.1186111111111,2.21,3.03333333333327,60,"Yes"
"35","01/06/2021",15.85,15.8483333333333,16.1194444444444,2.27,3.08333333333323,58,"No"
"36","01/06/2021",15.85,15.8483333333333,16.1247222222222,2.56,3.39999999999989,55,"Yes"
"37","01/06/2021",15.85,15.8483333333333,16.1272222222222,2.7,3.54999999999997,53,"No"
"38","01/06/2021",15.85,15.8483333333333,16.1294444444444,2.82,3.68333333333332,51,"No"
"39","01/06/2021",15.85,15.8483333333333,16.13,2.85,3.71666666666655,50,"No"
"40","01/06/2021",15.85,15.8483333333333,16.1344444444444,3.08,3.98333333333326,55,"Yes"
"41","01/06/2021",15.85,15.8483333333333,16.1377777777778,3.26,4.18333333333329,59,"No"
"42","01/06/2021",15.85,15.8483333333333,16.1383333333333,3.28,4.21666666666653,58,"No"
"43","01/06/2021",15.85,15.8483333333333,16.1411111111111,3.44,4.38333333333333,59,"No"
"44","01/06/2021",15.85,15.8483333333333,16.1416666666667,3.48,4.41666666666656,59,"No"
"45","01/06/2021",15.85,15.8483333333333,16.1433333333333,3.58,4.51666666666668,58,"No"
"46","01/06/2021",15.85,15.8483333333333,16.1444444444444,3.64,4.58333333333336,57,"No"
"47","01/06/2021",15.85,15.8483333333333,16.1538888888889,4.17,5.15000000000001,54,"No"
"48","01/06/2021",15.85,15.8483333333333,16.1544444444444,4.19,5.18333333333324,54,"No"
"49","01/06/2021",15.85,15.8483333333333,16.155,4.22,5.21666666666668,54,"No"
"50","01/06/2021",15.85,15.8483333333333,16.1555555555556,4.24,5.24999999999991,53,"No"
"51","01/06/2021",15.85,15.8483333333333,16.1563888888889,4.29,5.29999999999987,50,"Yes"
"52","01/06/2021",15.85,15.8483333333333,16.1580555555556,4.37,5.39999999999999,45,"Yes"
"53","01/06/2021",15.85,15.8483333333333,16.1583333333333,4.39,5.41666666666671,44,"No"
"54","01/06/2021",15.85,15.8483333333333,16.1591666666667,4.42,5.46666666666667,42,"Yes"
"55","01/06/2021",15.85,15.8483333333333,16.16,4.45,5.51666666666662,40,"Yes"
"56","01/06/2021",15.85,15.8483333333333,16.1605555555556,4.47,5.54999999999986,39,"No"
"57","01/06/2021",15.85,15.8483333333333,16.1613888888889,4.5,5.60000000000002,37,"Yes"
"58","01/06/2021",15.85,15.8483333333333,16.1619444444444,4.52,5.63333333333325,35,"Yes"
"59","01/06/2021",15.85,15.8483333333333,16.1638888888889,4.59,5.74999999999989,38,"Yes"
"60","01/06/2021",15.85,15.8483333333333,16.1711111111111,4.87,6.18333333333318,38,"No"
"61","01/06/2021",15.85,15.8483333333333,16.1991666666667,5.95,7.86666666666662,40,"Yes"
"62","01/06/2021",15.85,15.8483333333333,16.2008333333333,6.02,7.96666666666653,43,"Yes"
"63","01/06/2021",15.85,15.8483333333333,16.2022222222222,6.06,8.04999999999993,44,"No"
"64","01/06/2021",15.85,15.8483333333333,16.2025,6.07,8.06666666666665,45,"Yes"
"65","01/06/2021",15.85,15.8483333333333,16.2061111111111,6.24,8.28333333333319,50,"Yes"
"66","01/06/2021",15.85,15.8483333333333,16.2066666666667,6.27,8.31666666666663,50,"No"
"67","01/06/2021",15.85,15.8483333333333,16.2097222222222,6.43,8.49999999999994,55,"Yes"
"68","01/06/2021",15.85,15.8483333333333,16.2141666666667,6.69,8.76666666666665,60,"Yes"
"69","01/06/2021",15.85,15.8483333333333,16.2205555555556,7.08,9.14999999999999,65,"Yes"
"70","01/06/2021",15.85,15.8483333333333,16.2255555555556,7.42,9.44999999999993,68,"No"
"71","01/06/2021",15.85,15.8483333333333,16.2261111111111,7.43,9.48333333333338,68,"No"
"72","01/06/2021",15.85,15.8483333333333,16.2277777777778,7.56,9.58333333333329,69,"No"
"73","01/06/2021",15.85,15.8483333333333,16.2288888888889,7.63,9.64999999999996,70,"Yes"
"74","01/06/2021",15.85,15.8483333333333,16.2366666666667,8.19,10.1166666666667,75,"Yes"
"75","01/06/2021",15.85,15.8483333333333,16.2388888888889,8.36,10.2499999999998,80,"Yes"
"76","01/06/2021",15.85,15.8483333333333,16.2394444444444,8.39,10.2833333333333,80,"No"
"77","01/06/2021",15.85,15.8483333333333,16.2411111111111,8.54,10.3833333333332,85,"Yes"
"78","01/06/2021",15.85,15.8483333333333,16.2433333333333,8.75,10.5166666666666,90,"Yes"
"79","01/06/2021",15.85,15.8483333333333,16.2461111111111,9.02,10.6833333333334,92,"No"
"80","01/06/2021",15.85,15.8483333333333,16.2466666666667,9.06,10.7166666666666,92,"No"
"81","01/06/2021",15.85,15.8483333333333,16.2472222222222,9.08,10.75,92,"No"
"82","01/06/2021",15.85,15.8483333333333,16.2477777777778,9.15,10.7833333333333,92,"No"
"83","01/06/2021",15.85,15.8483333333333,16.2577777777778,10.03,11.3833333333334,85,"Yes"
"84","01/06/2021",15.85,15.8483333333333,16.2597222222222,10.21,11.5,80,"Yes"
"85","01/06/2021",15.85,15.8483333333333,16.2605555555556,10.27,11.5499999999999,79,"No"
"86","01/06/2021",15.85,15.8483333333333,16.2616666666667,10.38,11.6166666666666,75,"Yes"
"87","01/06/2021",15.85,15.8483333333333,16.2638888888889,10.54,11.75,70,"Yes"
"88","01/06/2021",15.85,15.8483333333333,16.265,10.63,11.8166666666666,68,"No"
"89","01/06/2021",15.85,15.8483333333333,16.2655555555556,10.64,11.8499999999999,67,"No"
