"","Jour.circulation","Depart.theo.SAT","Depart.real.SAT","Heure.franchissement","CumDist","Duration","Vitesse","Interpolated"
"1","30/06/2021",11,11.0294444444444,11.0297222222222,0,0,0,"Yes"
"2","30/06/2021",11,11.0294444444444,11.0322222222222,0.01,0.14999999999997,8,"Yes"
"3","30/06/2021",11,11.0294444444444,11.0333333333333,0.02,0.216666666666647,9,"No"
"4","30/06/2021",11,11.0294444444444,11.0333333333333,0.02,0.216666666666647,9,"No"
"5","30/06/2021",11,11.0294444444444,11.0355555555556,0.04,0.350000000000001,9,"No"
"6","30/06/2021",11,11.0294444444444,11.0375,0.06,0.466666666666633,13,"Yes"
"7","30/06/2021",11,11.0294444444444,11.0383333333333,0.07,0.516666666666694,14,"No"
"8","30/06/2021",11,11.0294444444444,11.0416666666667,0.11,0.716666666666619,14,"No"
"9","30/06/2021",11,11.0294444444444,11.0427777777778,0.12,0.783333333333296,14,"No"
"10","30/06/2021",11,11.0294444444444,11.0433333333333,0.13,0.816666666666634,15,"Yes"
"11","30/06/2021",11,11.0294444444444,11.0438888888889,0.14,0.849999999999973,18,"Yes"
"12","30/06/2021",11,11.0294444444444,11.045,0.16,0.91666666666665,20,"Yes"
"13","30/06/2021",11,11.0294444444444,11.0472222222222,0.21,1.05,23,"Yes"
"14","30/06/2021",11,11.0294444444444,11.0522222222222,0.33,1.34999999999994,24,"No"
"15","30/06/2021",11,11.0294444444444,11.0527777777778,0.34,1.38333333333328,24,"No"
"16","30/06/2021",11,11.0294444444444,11.0538888888889,0.36,1.44999999999996,22,"No"
"17","30/06/2021",11,11.0294444444444,11.055,0.38,1.51666666666664,21,"No"
"18","30/06/2021",11,11.0294444444444,11.0583333333333,0.45,1.71666666666667,23,"No"
"19","30/06/2021",11,11.0294444444444,11.0683333333333,0.69,2.31666666666666,25,"Yes"
"20","30/06/2021",11,11.0294444444444,11.0705555555556,0.75,2.45000000000001,26,"No"
"21","30/06/2021",11,11.0294444444444,11.0733333333333,0.82,2.6166666666667,28,"Yes"
"22","30/06/2021",11,11.0294444444444,11.0747222222222,0.86,2.7,30,"Yes"
"23","30/06/2021",11,11.0294444444444,11.0763888888889,0.91,2.80000000000001,33,"Yes"
"24","30/06/2021",11,11.0294444444444,11.0772222222222,0.94,2.84999999999997,35,"Yes"
"25","30/06/2021",11,11.0294444444444,11.0780555555556,0.97,2.90000000000003,38,"Yes"
"26","30/06/2021",11,11.0294444444444,11.0788888888889,1,2.94999999999998,40,"Yes"
"27","30/06/2021",11,11.0294444444444,11.08,1.05,3.01666666666666,43,"Yes"
"28","30/06/2021",11,11.0294444444444,11.0805555555556,1.08,3.05,45,"Yes"
"29","30/06/2021",11,11.0294444444444,11.0822222222222,1.16,3.15000000000001,50,"Yes"
"30","30/06/2021",11,11.0294444444444,11.0844444444444,1.26,3.28333333333337,54,"No"
"31","30/06/2021",11,11.0294444444444,11.0863888888889,1.37,3.4,60,"Yes"
"32","30/06/2021",11,11.0294444444444,11.0877777777778,1.47,3.48333333333329,65,"Yes"
"33","30/06/2021",11,11.0294444444444,11.0894444444444,1.58,3.58333333333331,70,"Yes"
"34","30/06/2021",11,11.0294444444444,11.0908333333333,1.67,3.66666666666671,75,"Yes"
"35","30/06/2021",11,11.0294444444444,11.0925,1.81,3.76666666666662,80,"Yes"
"36","30/06/2021",11,11.0294444444444,11.0927777777778,1.83,3.78333333333334,80,"No"
"37","30/06/2021",11,11.0294444444444,11.0955555555556,2.06,3.95000000000003,85,"Yes"
"38","30/06/2021",11,11.0294444444444,11.0977777777778,2.24,4.08333333333328,90,"Yes"
