"","Jour.circulation","Depart.theo.SAT","Depart.real.SAT","Heure.franchissement","CumDist","Duration","Vitesse","Interpolated"
"1","14/04/2021",17.0666666666667,17.2394444444444,17.2402777777778,0,0,0,"Yes"
"2","14/04/2021",17.0666666666667,17.2394444444444,17.2427777777778,0.01,0.150000000000077,8,"Yes"
"3","14/04/2021",17.0666666666667,17.2394444444444,17.2438888888889,0.02,0.216666666666754,9,"No"
"4","14/04/2021",17.0666666666667,17.2394444444444,17.2438888888889,0.02,0.216666666666754,9,"No"
"5","14/04/2021",17.0666666666667,17.2394444444444,17.2461111111111,0.04,0.350000000000108,9,"No"
"6","14/04/2021",17.0666666666667,17.2394444444444,17.2472222222222,0.05,0.416666666666785,10,"Yes"
"7","14/04/2021",17.0666666666667,17.2394444444444,17.2483333333333,0.06,0.483333333333462,11,"No"
"8","14/04/2021",17.0666666666667,17.2394444444444,17.2491666666667,0.07,0.533333333333417,15,"Yes"
"9","14/04/2021",17.0666666666667,17.2394444444444,17.2505555555556,0.09,0.616666666666603,18,"Yes"
"10","14/04/2021",17.0666666666667,17.2394444444444,17.2511111111111,0.1,0.650000000000048,20,"Yes"
"11","14/04/2021",17.0666666666667,17.2394444444444,17.2519444444444,0.12,0.700000000000003,23,"Yes"
"12","14/04/2021",17.0666666666667,17.2394444444444,17.2522222222222,0.13,0.716666666666725,25,"Yes"
"13","14/04/2021",17.0666666666667,17.2394444444444,17.2533333333333,0.16,0.783333333333402,28,"Yes"
"14","14/04/2021",17.0666666666667,17.2394444444444,17.2541666666667,0.18,0.833333333333357,30,"Yes"
"15","14/04/2021",17.0666666666667,17.2394444444444,17.2547222222222,0.2,0.866666666666802,33,"Yes"
"16","14/04/2021",17.0666666666667,17.2394444444444,17.2552777777778,0.22,0.900000000000034,35,"Yes"
"17","14/04/2021",17.0666666666667,17.2394444444444,17.2561111111111,0.25,0.949999999999989,38,"Yes"
"18","14/04/2021",17.0666666666667,17.2394444444444,17.2566666666667,0.27,0.983333333333434,40,"Yes"
"19","14/04/2021",17.0666666666667,17.2394444444444,17.2575,0.3,1.03333333333339,43,"Yes"
"20","14/04/2021",17.0666666666667,17.2394444444444,17.2577777777778,0.32,1.05000000000011,45,"Yes"
"21","14/04/2021",17.0666666666667,17.2394444444444,17.2594444444444,0.39,1.15000000000002,50,"Yes"
"22","14/04/2021",17.0666666666667,17.2394444444444,17.2605555555556,0.45,1.2166666666667,55,"Yes"
"23","14/04/2021",17.0666666666667,17.2394444444444,17.2622222222222,0.54,1.31666666666661,59,"No"
"24","14/04/2021",17.0666666666667,17.2394444444444,17.2627777777778,0.57,1.35000000000005,59,"No"
"25","14/04/2021",17.0666666666667,17.2394444444444,17.2666666666667,0.79,1.58333333333331,59,"No"
"26","14/04/2021",17.0666666666667,17.2394444444444,17.2672222222222,0.83,1.61666666666676,59,"No"
"27","14/04/2021",17.0666666666667,17.2394444444444,17.2677777777778,0.85,1.64999999999999,59,"No"
"28","14/04/2021",17.0666666666667,17.2394444444444,17.2680555555556,0.88,1.66666666666671,60,"Yes"
"29","14/04/2021",17.0666666666667,17.2394444444444,17.2733333333333,1.2,1.98333333333338,65,"Yes"
"30","14/04/2021",17.0666666666667,17.2394444444444,17.2758333333333,1.38,2.13333333333345,70,"Yes"
"31","14/04/2021",17.0666666666667,17.2394444444444,17.2783333333333,1.57,2.28333333333332,75,"No"
"32","14/04/2021",17.0666666666667,17.2394444444444,17.2788888888889,1.58,2.31666666666676,75,"No"
"33","14/04/2021",17.0666666666667,17.2394444444444,17.2805555555556,1.71,2.41666666666667,78,"No"
"34","14/04/2021",17.0666666666667,17.2394444444444,17.2811111111111,1.74,2.45000000000012,78,"No"
"35","14/04/2021",17.0666666666667,17.2394444444444,17.285,2.07,2.68333333333338,77,"No"
"36","14/04/2021",17.0666666666667,17.2394444444444,17.2877777777778,2.26,2.84999999999997,75,"No"
"37","14/04/2021",17.0666666666667,17.2394444444444,17.2883333333333,2.3,2.88333333333341,75,"No"
"38","14/04/2021",17.0666666666667,17.2394444444444,17.2938888888889,2.73,3.2166666666668,77,"No"
"39","14/04/2021",17.0666666666667,17.2394444444444,17.2961111111111,2.89,3.34999999999994,80,"Yes"
"40","14/04/2021",17.0666666666667,17.2394444444444,17.2966666666667,2.94,3.38333333333338,80,"No"
"41","14/04/2021",17.0666666666667,17.2394444444444,17.3011111111111,3.3,3.65000000000009,80,"No"
"42","14/04/2021",17.0666666666667,17.2394444444444,17.3016666666667,3.35,3.68333333333332,80,"No"
"43","14/04/2021",17.0666666666667,17.2394444444444,17.3033333333333,3.48,3.78333333333345,82,"No"
"44","14/04/2021",17.0666666666667,17.2394444444444,17.3080555555556,3.87,4.06666666666666,85,"Yes"
"45","14/04/2021",17.0666666666667,17.2394444444444,17.32,4.91,4.78333333333339,87,"No"
"46","14/04/2021",17.0666666666667,17.2394444444444,17.3333333333333,6.1,5.5833333333333,87,"No"
"47","14/04/2021",17.0666666666667,17.2394444444444,17.3505555555556,7.6,6.61666666666669,88,"No"
"48","14/04/2021",17.0666666666667,17.2394444444444,17.3552777777778,8.01,6.90000000000012,90,"Yes"
"49","14/04/2021",17.0666666666667,17.2394444444444,17.3575,8.22,7.03333333333347,95,"Yes"
"50","14/04/2021",17.0666666666667,17.2394444444444,17.3588888888889,8.37,7.11666666666666,100,"Yes"
"51","14/04/2021",17.0666666666667,17.2394444444444,17.3594444444444,8.42,7.15000000000011,101,"No"
"52","14/04/2021",17.0666666666667,17.2394444444444,17.3605555555556,8.53,7.21666666666678,105,"Yes"
"53","14/04/2021",17.0666666666667,17.2394444444444,17.3622222222222,8.72,7.31666666666669,110,"Yes"
"54","14/04/2021",17.0666666666667,17.2394444444444,17.3644444444444,8.97,7.45000000000005,115,"Yes"
"55","14/04/2021",17.0666666666667,17.2394444444444,17.365,9.03,7.48333333333328,116,"No"
"56","14/04/2021",17.0666666666667,17.2394444444444,17.3655555555556,9.09,7.51666666666672,116,"No"
"57","14/04/2021",17.0666666666667,17.2394444444444,17.3666666666667,9.19,7.5833333333334,116,"No"
"58","14/04/2021",17.0666666666667,17.2394444444444,17.3730555555556,9.94,7.96666666666674,110,"Yes"
"59","14/04/2021",17.0666666666667,17.2394444444444,17.3738888888889,10.06,8.01666666666669,108,"No"
"60","14/04/2021",17.0666666666667,17.2394444444444,17.3744444444444,10.11,8.05000000000014,107,"No"
"61","14/04/2021",17.0666666666667,17.2394444444444,17.375,10.17,8.08333333333337,105,"Yes"
"62","14/04/2021",17.0666666666667,17.2394444444444,17.3772222222222,10.38,8.21666666666673,100,"Yes"
"63","14/04/2021",17.0666666666667,17.2394444444444,17.3772222222222,10.39,8.21666666666673,100,"No"
"64","14/04/2021",17.0666666666667,17.2394444444444,17.3783333333333,10.54,8.2833333333334,97,"No"
"65","14/04/2021",17.0666666666667,17.2394444444444,17.3788888888889,10.59,8.31666666666663,95,"Yes"
"66","14/04/2021",17.0666666666667,17.2394444444444,17.38,10.67,8.38333333333331,95,"No"
"67","14/04/2021",17.0666666666667,17.2394444444444,17.3811111111111,10.76,8.44999999999999,96,"No"
"68","14/04/2021",17.0666666666667,17.2394444444444,17.3822222222222,10.89,8.51666666666667,100,"Yes"
"69","14/04/2021",17.0666666666667,17.2394444444444,17.3841666666667,11.07,8.6333333333333,105,"Yes"
"70","14/04/2021",17.0666666666667,17.2394444444444,17.3855555555556,11.23,8.7166666666667,110,"Yes"
"71","14/04/2021",17.0666666666667,17.2394444444444,17.3869444444444,11.37,8.8000000000001,115,"Yes"
"72","14/04/2021",17.0666666666667,17.2394444444444,17.3877777777778,11.49,8.85000000000005,120,"Yes"
"73","14/04/2021",17.0666666666667,17.2394444444444,17.3888888888889,11.6,8.91666666666673,125,"Yes"
"74","14/04/2021",17.0666666666667,17.2394444444444,17.3894444444444,11.7,8.94999999999996,130,"Yes"
"75","14/04/2021",17.0666666666667,17.2394444444444,17.39,11.77,8.98333333333341,133,"No"
"76","14/04/2021",17.0666666666667,17.2394444444444,17.39,11.8,8.98333333333341,135,"Yes"
"77","14/04/2021",17.0666666666667,17.2394444444444,17.3908333333333,11.9,9.03333333333336,140,"Yes"
"78","14/04/2021",17.0666666666667,17.2394444444444,17.3913888888889,11.99,9.0666666666668,145,"Yes"
"79","14/04/2021",17.0666666666667,17.2394444444444,17.3922222222222,12.09,9.11666666666676,150,"Yes"
"80","14/04/2021",17.0666666666667,17.2394444444444,17.3927777777778,12.19,9.14999999999999,155,"Yes"
"81","14/04/2021",17.0666666666667,17.2394444444444,17.3936111111111,12.3,9.19999999999995,160,"Yes"
"82","14/04/2021",17.0666666666667,17.2394444444444,17.3941666666667,12.42,9.23333333333339,165,"Yes"
"83","14/04/2021",17.0666666666667,17.2394444444444,17.395,12.56,9.28333333333335,170,"Yes"
"84","14/04/2021",17.0666666666667,17.2394444444444,17.3961111111111,12.73,9.35000000000002,175,"Yes"
