"","Jour.circulation","Depart.theo.SAT","Depart.real.SAT","Heure.franchissement","CumDist","Duration","Vitesse","Interpolated"
"1","08/07/2021",16.85,16.85,17.0761111111111,0,0,0,"Yes"
"2","08/07/2021",16.85,16.85,17.0827777777778,0.02,0.400000000000063,6,"No"
"3","08/07/2021",16.85,16.85,17.0827777777778,0.02,0.400000000000063,6,"No"
"4","08/07/2021",16.85,16.85,17.0861111111111,0.04,0.600000000000094,7,"No"
"5","08/07/2021",16.85,16.85,17.0875,0.05,0.68333333333328,10,"Yes"
"6","08/07/2021",16.85,16.85,17.0886111111111,0.06,0.749999999999957,13,"Yes"
"7","08/07/2021",16.85,16.85,17.0891666666667,0.07,0.783333333333402,15,"Yes"
"8","08/07/2021",16.85,16.85,17.0897222222222,0.08,0.816666666666634,18,"Yes"
"9","08/07/2021",16.85,16.85,17.0902777777778,0.09,0.85000000000008,20,"Yes"
"10","08/07/2021",16.85,16.85,17.0911111111111,0.11,0.900000000000034,23,"Yes"
"11","08/07/2021",16.85,16.85,17.0916666666667,0.12,0.933333333333266,25,"Yes"
"12","08/07/2021",16.85,16.85,17.0927777777778,0.15,0.999999999999943,28,"Yes"
"13","08/07/2021",16.85,16.85,17.0930555555556,0.16,1.01666666666667,30,"Yes"
"14","08/07/2021",16.85,16.85,17.0941666666667,0.19,1.08333333333334,33,"Yes"
"15","08/07/2021",16.85,16.85,17.0947222222222,0.21,1.11666666666679,35,"Yes"
"16","08/07/2021",16.85,16.85,17.0961111111111,0.26,1.19999999999997,38,"Yes"
"17","08/07/2021",16.85,16.85,17.0969444444444,0.3,1.24999999999993,40,"Yes"
"18","08/07/2021",16.85,16.85,17.1008333333333,0.46,1.48333333333341,43,"Yes"
"19","08/07/2021",16.85,16.85,17.1058333333333,0.67,1.78333333333335,45,"Yes"
"20","08/07/2021",16.85,16.85,17.1075,0.76,1.88333333333347,50,"Yes"
"21","08/07/2021",16.85,16.85,17.1088888888889,0.81,1.96666666666665,53,"No"
"22","08/07/2021",16.85,16.85,17.1091666666667,0.83,1.98333333333338,55,"Yes"
"23","08/07/2021",16.85,16.85,17.1094444444444,0.84,2.0000000000001,55,"No"
"24","08/07/2021",16.85,16.85,17.1127777777778,1.03,2.20000000000013,56,"No"
"25","08/07/2021",16.85,16.85,17.1177777777778,1.3,2.50000000000007,58,"No"
"26","08/07/2021",16.85,16.85,17.1216666666667,1.53,2.73333333333333,58,"No"
"27","08/07/2021",16.85,16.85,17.1222222222222,1.57,2.76666666666678,59,"No"
"28","08/07/2021",16.85,16.85,17.1227777777778,1.62,2.80000000000001,58,"No"
"29","08/07/2021",16.85,16.85,17.1244444444444,1.7,2.90000000000013,57,"No"
"30","08/07/2021",16.85,16.85,17.1277777777778,1.9,3.09999999999995,56,"No"
