"","Jour.circulation","Depart.theo.SAT","Depart.real.SAT","Heure.franchissement","CumDist","Duration","Vitesse","Interpolated"
"1","24/06/2021",11,11,11.0027777777778,0,0,0,"Yes"
"2","24/06/2021",11,11,11.0061111111111,0.01,0.199999999999925,6,"No"
"3","24/06/2021",11,11,11.0061111111111,0.01,0.199999999999925,6,"No"
"4","24/06/2021",11,11,11.0077777777778,0.02,0.29999999999994,8,"Yes"
"5","24/06/2021",11,11,11.0088888888889,0.03,0.366666666666617,10,"Yes"
"6","24/06/2021",11,11,11.0097222222222,0.04,0.416666666666679,13,"Yes"
"7","24/06/2021",11,11,11.0105555555556,0.05,0.466666666666633,14,"No"
"8","24/06/2021",11,11,11.0119444444444,0.07,0.549999999999926,18,"Yes"
"9","24/06/2021",11,11,11.0125,0.08,0.583333333333265,20,"Yes"
"10","24/06/2021",11,11,11.0127777777778,0.09,0.599999999999987,23,"Yes"
"11","24/06/2021",11,11,11.0158333333333,0.16,0.783333333333296,25,"Yes"
"12","24/06/2021",11,11,11.0194444444444,0.25,0.999999999999943,26,"No"
"13","24/06/2021",11,11,11.0205555555556,0.28,1.06666666666662,26,"No"
"14","24/06/2021",11,11,11.0211111111111,0.29,1.09999999999996,26,"No"
"15","24/06/2021",11,11,11.0216666666667,0.3,1.1333333333333,26,"No"
"16","24/06/2021",11,11,11.0255555555556,0.4,1.36666666666667,27,"No"
"17","24/06/2021",11,11,11.0261111111111,0.42,1.40000000000001,27,"No"
"18","24/06/2021",11,11,11.0291666666667,0.51,1.58333333333331,28,"Yes"
"19","24/06/2021",11,11,11.0305555555556,0.55,1.66666666666661,28,"No"
"20","24/06/2021",11,11,11.0311111111111,0.57,1.69999999999995,28,"No"
"21","24/06/2021",11,11,11.0316666666667,0.58,1.73333333333328,28,"No"
"22","24/06/2021",11,11,11.0322222222222,0.59,1.76666666666662,28,"No"
"23","24/06/2021",11,11,11.0361111111111,0.7,1.99999999999999,28,"No"
"24","24/06/2021",11,11,11.0366666666667,0.71,2.03333333333333,28,"No"
"25","24/06/2021",11,11,11.0405555555556,0.83,2.26666666666659,28,"No"
"26","24/06/2021",11,11,11.0419444444444,0.87,2.34999999999999,30,"Yes"
