"Participants","Date","Departure_hour","Departure_min","Order","Age","Sex","Laterality","Direction","Hour_1","min_1","Knowledge_distance","Distance","Knowledge_time","Time_hour","Time_min","Max_speed","Hour_2","min_2","Inst_Speed_graphic","Inst_Speed_num","Inst_Speed_conf","Av_speed_graphic","Av_speed_num","Av_speed_confidence","Hour_3","min_3","Time_graphic","Time_hour_num","Time_min_num","Time_conf","Over_or_Underestimation","Hour_4","min_4","Dist_graph","Dist_num","Dist_conf","Hour_5","min_5","Speed_of_time","Homogeneity","Sadness","Hapiness","Boredom","Dist_Strat","Time_Strat","Speed_Strat","creusot","X","departure","order","direction","laterality","rep_knw","knowledge_distance","knwYesNo_dist","knw_dist","knowledge_time","knwYesNo_dur","knw_dur","knwYesNo_spd","knw_spd","rep_spd","spd_inst_allo","spd_inst_ego","spd_inst_conf","spd_inst_meta","spd_mean_allo","spd_mean_ego","spd_mean_conf","spd_mean_meta","rep_dur","dur_allo","dur_ego","dur_conf","dur_meta","rep_dist","dist_allo","dist_ego","dist_conf","dist_meta","rep_debrief","pot","homogeneity_pot","sadness","happiness","boredom","dist_strat","dur_strat","spd_strat","participants","age","sex","obj_dur","obj_dist","obj_spd_inst","obj_spd_mean","away_dur","away_dist","away_spd_inst","away_spd_mean","ep_dur","ep_dist","ep_spd","paris_lyon","travel","tot_dur","tot_dist","tot_speed","spd_inst_tot","spd_mean_tot","dur_tot","dist_tot"
190,"07/07/2021",11,52,4,30,"Man",1,"1",12,20,0,375,0,1,15,300,12,14,116,200,3,136,250,3,12,22,91,0,18,3,2,12,25,1.3,85,3,12,26,3,2,1,3,1,2,2,2,2,"",11.8666666666667,4,"Forward","Right-handed",12.3333333333333,"No","No",375,"No","No",75,NA,300,12.2333333333333,193.333333333333,200,3,NA,226.666666666667,250,3,NA,12.3666666666667,18.9583333333333,18,3,2,12.4166666666667,78.6290322580645,85,3,NA,12.4333333333333,3,2,1,3,1,2,2,2,190,30,"Man",29.3666666666667,100.62,261,115.643410852713,0.183333333331923,0.133333333333994,1.91846538655227e-12,1.91846538655227e-12,"cst","cst","cst","LP","./6613_2021-07-07_full_journey.csv",130.766666666667,429.12,320,206.222222222222,241.777777777778,33.0549074074075,89.9767741935484
191,"07/07/2021",11,52,6,50,"Man",1,"1",12,38,0,500,1,2,4,300,12,40,NA,300,3,NA,150,3,12,38,91,0,30,3,2,12,39,2.2,100,2,12,44,3,2,1,3,1,3,2,5,0,"",11.8666666666667,6,"Forward","Right-handed",12.6333333333333,"No","No",500,"Yes","Yes",124,NA,300,12.6666666666667,NA,300,3,NA,NA,150,3,NA,12.6333333333333,31.3444444444444,30,3,2,12.65,177.41935483871,100,2,NA,12.7333333333333,3,2,1,3,1,3,2,5,191,50,"Man",45.5833333333334,166.5,285,173.518987341772,0.400000000000063,0.133333333331969,0.116666666668017,0.116666666668017,"cst","cst","cst","LP","./6613_2021-07-07_full_journey.csv",130.766666666667,429.12,320,NA,NA,33.0549074074075,152.268387096774
192,"07/07/2021",11,52,2,21,"Man",1,"1",12,46,0,300,0,2,0,400,12,46,NA,380,2,NA,300,2,12,48,217,0,45,3,3,12,47,3.8,180,2,12,49,3,3,1,2,1,2,5,2,0,"",11.8666666666667,2,"Forward","Right-handed",12.7666666666667,"No","No",300,"No","No",120,NA,400,12.7666666666667,NA,380,2,NA,NA,300,2,NA,12.8,72.3333333333333,45,3,3,12.7833333333333,183.870967741935,180,2,NA,12.8166666666667,3,3,1,2,1,2,5,2,192,21,"Man",55.1166666666667,205.4,291,184.66590389016,0.0666666666660376,0.233333333331984,0.366666666664059,0.366666666664059,"cst","cst","cst","LP","./6613_2021-07-07_full_journey.csv",130.766666666667,429.12,320,NA,NA,78.8232407407409,263.009032258064
193,"07/07/2021",11,52,4,24,"Man",1,"1",12,53,0,350,0,1,30,300,12,56,147,280,2,113,200,2,12,55,258,1,10,3,3,12,58,3.9,230,2,12,59,3,2,1,3,2,2,2,3,2,"",11.8666666666667,4,"Forward","Right-handed",12.8833333333333,"No","No",350,"No","No",90,NA,300,12.9333333333333,245,280,2,NA,188.333333333333,200,2,NA,12.9166666666667,64.5,70,3,3,12.9666666666667,220.161290322581,230,2,NA,12.9833333333333,3,2,1,3,2,2,2,3,193,24,"Man",62.2166666666666,255.27,265,194.098360655738,0.0333333333320596,0.033333333331953,0.0500000000019796,0.0500000000019796,"cst","cst","cst","LP","./6613_2021-07-07_full_journey.csv",130.766666666667,429.12,320,261.333333333333,200.888888888889,93.7161111111113,269.930322580645
194,"07/07/2021",11,52,3,63,"Man",2,"1",13,4,1,480,1,2,4,250,13,5,NA,250,2,NA,240,3,13,5,184,1,5,3,3,13,4,2.8,240,3,13,7,2,2,2,2,2,3,3,2,0,"",11.8666666666667,3,"Forward","Left-handed",13.0666666666667,"Yes","Yes",480,"Yes","Yes",124,NA,250,13.0833333333333,NA,250,2,NA,NA,240,3,NA,13.0833333333333,63.3777777777778,65,3,3,13.0666666666667,216.774193548387,240,3,NA,13.1166666666667,2,2,2,2,2,3,3,2,194,63,"Man",72.1833333333334,283.3,231,202.894353369763,2.02504679691629e-12,2.02504679691629e-12,2.02504679691629e-12,2.02504679691629e-12,"cst","cst","cst","LP","./6613_2021-07-07_full_journey.csv",130.766666666667,429.12,320,NA,NA,66.8362962962965,193.796129032258
195,"07/07/2021",11,52,3,19,"Man",1,"2",13,38,0,400,0,1,50,200,13,42,163,170,2,122,150,2,13,42,199,0,25,3,2,13,40,4.85,145,2,13,42,4,2,2,2,1,2,2,2,1,"",11.8666666666667,3,"Backward","Right-handed",13.6333333333333,"No","No",400,"No","No",110,NA,200,13.7,181.111111111111,170,2,NA,135.555555555556,150,2,NA,13.7,60.8055555555556,25,3,2,13.6666666666667,312.903225806452,145,2,NA,13.7,4,2,2,2,1,2,2,2,195,19,"Man",109.316666666667,401.11,206,203.28622754491,0.133333333332075,0.18333333333203,0.133333333332075,0.133333333332075,"dec","dec","dec","LP","./6613_2021-07-07_full_journey.csv",130.766666666667,429.12,320,289.777777777778,216.888888888889,72.2849074074076,335.682580645161
196,"07/07/2021",17,6,NA,25,"Man",1,"en ligne (online)",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",17.1,NA,NA,"Right-handed",NA,"Yes","Yes",NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,25,"Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LP","./6626_2021-07-07_full_journey.csv",130.766666666667,429.12,320,NA,NA,NA,NA
197,"07/07/2021",17,6,2,23,"Woman",1,"1",18,32,0,200,1,1,56,180,18,36,145,160,2,144,160,2,18,38,197,1,0,2,2,18,37,3.4,100,2,18,40,3,2,1,2,1,5,2,2,0,"",17.1,2,"Forward","Right-handed",18.5333333333333,"No","No",200,"Yes","Yes",116,NA,180,18.6,145,160,2,NA,144,160,2,NA,18.6333333333333,63.4777777777778,60,2,2,18.6166666666667,109.677419354839,100,2,NA,18.6666666666667,3,2,1,2,1,5,2,2,197,23,"Woman",93.4166666666666,371.08,260,226.127035830619,1.91846538655227e-12,0.0666666666679561,0.0833333333340391,0.0833333333340391,"cst","cst","cst","LP","./6626_2021-07-07_full_journey.csv",130.766666666667,429.12,320,257.777777777778,256,71.5584259259261,235.323870967742
198,"07/07/2021",17,6,1,26,"Woman",1,"2",17,13,0,300,1,2,2,350,17,14,36,90,2,127,230,3,17,15,35,0,15,3,3,17,16,0.4,40,2,17,17,3,1,1,3,1,2,2,1,0,"",17.1,1,"Backward","Right-handed",17.2166666666667,"No","No",300,"Yes","Yes",122,NA,350,17.2333333333333,70,90,2,NA,246.944444444444,230,3,NA,17.25,11.8611111111111,15,3,3,17.2666666666667,19.3548387096774,40,2,NA,17.2833333333333,3,1,1,3,1,2,2,1,198,26,"Woman",10.4166666666666,10.17,54,45.5151515151515,0,2.1316282072803e-12,0.033333333331953,0.033333333331953,"acc","acc","acc","LP","./6626_2021-07-07_full_journey.csv",130.766666666667,429.12,320,64,225.777777777778,12.713425925926,27.6851612903226
199,"07/07/2021",17,6,5,42,"Man",2,"2",17,25,0,450,1,1,56,300,17,26,156,300,3,115,180,2,17,27,68,0,25,3,2,17,26,1,60,2,17,28,3,2,1,3,1,2,2,2,0,"",17.1,5,"Backward","Left-handed",17.4166666666667,"No","No",450,"Yes","Yes",116,NA,300,17.4333333333333,260,300,3,NA,191.666666666667,180,2,NA,17.45,21.9111111111111,25,3,2,17.4333333333333,72.5806451612903,60,2,NA,17.4666666666667,3,2,1,3,1,2,2,2,199,42,"Man",22.4166666666666,47.43,290,124.069518716578,0,0.216666666668033,0.216666666668033,0.216666666668033,"cst","cst","cst","LP","./6626_2021-07-07_full_journey.csv",130.766666666667,429.12,320,277.333333333333,204.444444444444,24.7003703703704,69.2129032258065
