"participants","age","sex","laterality","order","orientation","knwYesNo_est","knw_est","est","est_conf","est_meta","RE_est","ER_est","obj_est","ep_est","pot","homogeneity_pot","sadness","happiness","boredom","est_strat","format","type","outliers","theo_dur"
74,NA,"Man",NA,"4","Forward","Yes",116,45,"3","3",1.32029339853301,0.320293398533009,34.0833333333333,"cst","4","3","1","2","2","1","numeric","dur",NA,116
75,NA,"Man",NA,"6","Forward","Yes",116,45,"3","2",1.0752688172043,0.075268817204301,41.85,"cst","4","2","1","2","1","5","numeric","dur",NA,116
76,NA,"Woman",NA,"5","Backward","Yes",116,75,"3","2",1.1600928074246,0.160092807424596,64.6499999999999,"cst","3","2","1","3","3","2","numeric","dur",NA,116
77,NA,"Man",NA,"3","Backward","Yes",117,75,"3","2",1.02622576966933,0.0262257696693277,73.0833333333333,"cst","3",NA,"1","3","3","5","numeric","dur",NA,116
78,NA,"Woman",NA,"6","Backward","Yes",120,60,"3","3",0.895522388059703,-0.104477611940297,66.9999999999999,"cst","3","2","1","4","1","4","numeric","dur",NA,116
79,NA,"Woman",NA,"1","Forward","No",120,70,"3","2",0.920648838228847,-0.0793511617711526,76.0333333333333,"cst","2","1","2","3","3","4","numeric","dur",NA,116
80,NA,"Man",NA,"4","Backward","Yes",120,10,"3","3",2.01342281879193,1.01342281879193,4.9666666666667,"acc","3","1","1","3","1","1","numeric","dur",NA,124
81,NA,"Man",NA,"5","Backward","No",124,25,"2","4",1.30775937227549,0.307759372275492,19.1166666666668,"cst","2","2","1","3","1","2","numeric","dur",NA,124
82,NA,"Woman",NA,"3","Forward","Yes",120,60,"2","2",0.832369942196531,-0.167630057803469,72.0833333333334,"cst","2","2","1","2","2","5","numeric","dur",NA,124
83,NA,"Woman",NA,"2","Backward","Yes",124,90,"3","2",1.13948090314412,0.139480903144121,78.9833333333335,"cst",NA,"2",NA,"3","3","5","numeric","dur",NA,124
85,NA,"Man",NA,"1","Backward","No",123,100,"4","3",1.00772589855559,0.00772589855559215,99.2333333333334,"cst","3","1","1","3","1","1","numeric","dur",NA,124
86,NA,"Man",NA,"2","Forward","Yes",130,105,"3","3",1.14109762724144,0.14109762724144,92.0166666666668,"cst","3","2","1","3","2","2","numeric","dur",NA,124
87,NA,"Man",NA,"5","Backward","No",121,110,"3","3",1.05229591836735,0.0522959183673503,104.533333333333,"cst","4","2","1","3","3","4","numeric","dur",NA,124
88,NA,"Man",NA,"3","Forward","Yes",129,6,"3","2",0.504201680672273,-0.495798319327727,11.8999999999999,"acc","2","2","1","2","3","2","numeric","dur",NA,116
89,NA,"Man",NA,"6","Forward","Yes",120,30,"3","3",1.26227208976157,0.262272089761569,23.7666666666667,"cst","3","4","1","3","2","2","numeric","dur",NA,116
90,NA,"Man",NA,"6","Backward","Yes",129,60,"3","3",2.01117318435754,1.01117318435754,29.8333333333333,"cst","2","3","1","3","3","2","numeric","dur",NA,116
91,NA,"Man",NA,"2","Forward","No",180,60,"2","3",1.55239327296248,0.552393272962484,38.65,"cst","3","2","1","3","2","2","numeric","dur",NA,116
92,NA,"Man",NA,"5","Forward","Yes",116,90,"3","3",1.58450704225352,0.584507042253524,56.7999999999999,"cst","2","3","1","3","2","2","numeric","dur",NA,116
93,NA,"Man",NA,"4","Forward","Yes",110,62,"3","2",0.971786833855799,-0.0282131661442006,63.8,"cst","2","1","1","3","2","4","numeric","dur",NA,116
94,NA,"Man",NA,"3","Forward","Yes",119,78,"3","3",1.1032531824611,0.103253182461103,70.7,"cst","3","2","2","3","2","2","numeric","dur",NA,116
95,NA,"Woman",NA,"1","Forward","Yes",116,95,"3","2",1.00193355598524,0.0019335559852353,94.8166666666666,"cst","3","3","1","4","1","2","numeric","dur",NA,116
96,NA,"Man",NA,"6","Forward","No",120,100,"3","3",1.00200400801603,0.00200400801603309,99.7999999999999,"dec","3","3","1","3","1","5","numeric","dur",NA,116
97,NA,"Woman",NA,"5","Forward","Yes",120,10,"3","2",1.03986135181977,0.0398613518197733,9.61666666666652,"acc","2","2","1","2","1","2","numeric","dur",NA,124
98,NA,"Woman",NA,"3","Forward","Yes",120,25,"3","2",1.60427807486632,0.604278074866324,15.5833333333332,"acc","4",NA,"1","3","1","2","numeric","dur",NA,124
99,NA,"Woman",NA,"2","Forward","Yes",124,15,"2","2",0.635593220338986,-0.364406779661014,23.5999999999999,"cst","3","3","1","3","1","2","numeric","dur",NA,124
100,NA,"Man",NA,"1","Forward","Yes",124,100,"3","2",3.07692307692309,2.07692307692309,32.4999999999999,"cst","4","1","1","4","1","6","numeric","dur",NA,124
101,NA,"Man",NA,"4","Forward","No",130,70,"3","2",1.09832635983264,0.0983263598326366,63.7333333333333,"cst","3","3","1","2","2","3","numeric","dur",NA,124
102,NA,"Man",NA,"2","Backward","Yes",124,80,"3","3",1.0443864229765,0.0443864229765041,76.5999999999998,"cst","2","2","3","2","3","5","numeric","dur",NA,124
104,NA,"Woman",NA,"5","Backward","No",125,90,"3","3",0.972272236226145,-0.027727763773855,92.5666666666665,"cst","3","2","2","3","2","6","numeric","dur",NA,124
105,NA,"Man",NA,"4","Forward","No",132,106,"2","2",1.07541427122083,0.0754142712208326,98.5666666666666,"cst","3","3","1","3","2","2","numeric","dur",NA,124
106,26,"Woman","Left-handed","6","Backward","Yes",120,15,"2","3",1.93133047210302,0.931330472103021,7.7666666666666,"acc","3","2","1","3","2","2","numeric","dur",NA,116
110,22,"Woman","Right-handed","3","Forward","Yes",117,14,"4","2",1.01204819277109,0.0120481927710868,13.8333333333333,"acc","3","1","2","3","1","2","numeric","dur",NA,116
111,23,"Woman","Left-handed","5","Forward","No",135,30,"3","2",1.03986135181976,0.0398613518197573,28.85,"cst","3","3","2","2","3","2","numeric","dur",NA,116
112,22,"Man","Left-handed","4","Backward","Yes",120,80,"4","2",1.04211897524968,0.0421189752496753,76.7666666666666,"cst","2","3","1","3","2","5","numeric","dur",NA,116
113,31,"Man","Right-handed","1","Backward","No",120,80,"3","3",1.00104275286757,0.00104275286757122,79.9166666666666,"cst","2","1","1","3","1","2","numeric","dur",NA,116
114,31,"Man","Right-handed","1","Backward","No",120,80,"3","3",1.00104275286757,0.00104275286757122,79.9166666666666,"cst","2","1","1","3","1","2","numeric","dur",NA,116
115,32,"Man","Right-handed","3","Backward","Yes",120,75,"3","2",0.808480057491915,-0.191519942508085,92.7666666666667,"cst","3","4","1","3","1","5","numeric","dur",NA,116
116,30,"Man","Right-handed","4","Forward","No",135,60,"2","2",0.661643080316119,-0.338356919683881,90.6833333333333,"cst","3","1","1","4","1","1","numeric","dur",NA,116
117,NA,NA,NA,"2","Forward","Yes",120,70,"2","2",0.875912408759125,-0.124087591240875,79.9166666666666,"cst","3","3","3","1","1","2","numeric","dur",NA,116
118,24,"Woman","Right-handed","5","Forward","Yes",116,75,"3","3",0.827053850395148,-0.172946149604852,90.6833333333333,"cst","2","2","1","3","2","1","numeric","dur",NA,116
119,49,"Man","Right-handed","6","Forward","No",124,9,"2","1",2.25941422594134,1.25941422594134,3.98333333333348,"acc","4",NA,"2","3","1","2","numeric","dur",NA,124
120,NA,"Man","Right-handed","2","Forward","Yes",124,20,"3","2",1.04803493449781,0.048034934497813,19.0833333333334,"cst","4","3","1","4","1","2","numeric","dur",NA,124
121,29,"Woman","Right-handed","1","Backward","Yes",124,45,"3","3",0.816944024205746,-0.183055975794254,55.0833333333335,"cst","3","3","1","2","1","3","numeric","dur",NA,124
122,53,"Woman","Left-handed","4","Backward","Yes",130,30,"2","2",0.491132332878581,-0.508867667121419,61.0833333333333,"cst","4","1","1","3","1","2","numeric","dur",NA,124
123,61,"Woman","Right-handed","6","Forward","Yes",120,60,"1","2",0.871037986934428,-0.128962013065572,68.8833333333335,"cst","2","3","2","2","1","2","numeric","dur",NA,124
124,43,"Woman","Right-handed","5","Forward","Yes",125,90,"2","2",1.15261472785485,0.152614727854855,78.0833333333334,"cst","3","1","1","3","1","2","numeric","dur",NA,124
125,64,"Man","Right-handed","3","Forward","No",123,100,"3","3",1.00993098804915,0.00993098804914767,99.0166666666669,"dec","3","2","1","3","1","4","numeric","dur",NA,124
126,58,"Man","Right-handed","5","Backward","No",130,110,"3","2",0.999394306480918,-0.000605693519082408,110.066666666667,"dec","2","3","1",NA,"1","6","numeric","dur",NA,124
127,52,"Woman","Right-handed","3","Forward","No",450,20,"1","1",1.41010575793184,0.410105757931838,14.1833333333334,"acc","4","1","4","1","4","1","numeric","dur",NA,116
128,31,"Man","Right-handed","1","Forward","Yes",116,30,"3","1",1.08368452739314,0.0836845273931379,27.6833333333333,"cst","4","3","1","3","1","1","numeric","dur",NA,116
129,NA,"Woman","Right-handed","2","Forward","Yes",130,44,"4","2",1.08910891089109,0.0891089108910891,40.4,"cst","3","1","1","2","1","4","numeric","dur",NA,116
130,27,"Man","Right-handed","4","Forward","Yes",120,15,"3","2",0.983606557377049,-0.0163934426229508,15.25,"acc","4","1","1","4","1","2","numeric","dur",NA,116
131,38,"Man","Right-handed","6","Backward","No",60,20,"3","3",0.789473684210527,-0.210526315789473,25.3333333333333,"cst","4","2","1","3","1","3","numeric","dur",NA,116
132,37,"Man","Right-handed","3","Backward","Yes",117,50,"2","2",1.19236883942766,0.192368839427664,41.9333333333333,"cst","2","2","1","3","2","5","numeric","dur",NA,116
133,21,"Woman","Right-handed","3","Backward","No",70,15,"4","2",1.08695652173914,0.0869565217391384,13.7999999999999,"acc","3","2","1","3","1","2","numeric","dur",NA,116
134,49,"Man","Right-handed","2","Backward","No",130,60,"1","1",1.1703511053316,0.170351105331599,51.2666666666667,"cst","3","3","1","1","1","6","numeric","dur",NA,116
135,23,"Woman","Right-handed","1","Backward","Yes",119,70,"3","2",1.02614219398974,0.0261421939897396,68.2166666666666,"cst","3","3","1","3","2","4","numeric","dur",NA,116
136,39,"Man","Right-handed","5","Forward","Yes",120,90,"3","3",1.16504854368932,0.16504854368932,77.25,"cst","2","3","3","2","3","2","numeric","dur",NA,116
137,19,"Man","Right-handed","4","Backward","No",150,61,"2","2",0.999726850587271,-0.000273149412729329,61.0166666666667,"cst","3","2","1","3","2","4","numeric","dur",NA,116
138,52,"Man","Right-handed","6","Backward","Yes",116,65,"4","2",0.93953264273669,-0.0604673572633095,69.1833333333333,"cst","2","1","2","3","3","4","numeric","dur",NA,116
140,35,"Woman","Right-handed","6","Backward","Yes",120,100,"4","1",1.05152471083071,0.0515247108307057,95.0999999999999,"cst","2","3","1","2","3","5","numeric","dur",NA,116
141,21,"Man","Left-handed","1","Backward","Yes",117,107,"3","2",1.00705882352941,0.00705882352941176,106.25,"dec","3","2","1","3","3","4","numeric","dur",NA,116
142,20,"Woman","Right-handed","3","Backward","Yes",124,4,"4","3",1.00418410041843,0.0041841004184285,3.98333333333326,"acc","3","1","1","3","2","5","numeric","dur",NA,124
143,38,"Man","Right-handed","5","Forward","Yes",120,100,"3","2",2.38473767885533,1.38473767885533,41.9333333333333,"cst","4","1","1","3","1","3","numeric","dur",NA,116
144,22,"Man","Right-handed","3","Forward","Yes",116,105,"4","3",0.978108989287378,-0.0218910107126222,107.35,"dec","3","3","1","3","2","5","numeric","dur",NA,116
145,19,"Man","Left-handed","3","Forward","Yes",124,5,"3","2",0.417246175243391,-0.582753824756609,11.9833333333334,"acc","3","3","3","2","1","1","numeric","dur",NA,124
146,35,"Woman","Left-handed","2","Backward","No",120,30,"2","3",1.51898734177216,0.51898734177216,19.7499999999999,"cst","3","3","1","3","2","3","numeric","dur",NA,124
147,27,"Man","Right-handed","5","Backward","Yes",116,12,"3","3",1.33580705009275,0.335807050092753,8.98333333333341,"acc","2","3","2","3","3","5","numeric","dur",NA,124
148,70,"Man","Right-handed","5","Backward","Yes",124,20,"4","3",1.12888052681092,0.128880526810917,17.7166666666666,"cst","3","2","1","3","2","4","numeric","dur",NA,124
149,18,"Woman","Right-handed","5","Backward","No",270,25,"3","2",0.901984365604328,-0.0980156343956716,27.7166666666667,"cst","3","3","1","3","1","2","numeric","dur",NA,124
150,49,"Woman","Right-handed","3","Backward","Yes",120,15,"2","1",0.601202404809617,-0.398797595190383,24.9500000000001,"cst","2","3","1","4","1","6","numeric","dur",NA,124
151,18,"Woman","Right-handed","1","Backward","Yes",124,32,"4","3",1.06607440310938,0.0660744031093825,30.0166666666667,"cst","3","3","1","4","1","4","numeric","dur",NA,124
152,20,"Woman","Right-handed","1","Backward","Yes",124,30,"3","3",0.999444752915046,-0.000555247084953955,30.0166666666667,"cst","3","4","1","4","1","4","numeric","dur",NA,124
153,32,"Woman","Right-handed","1","Backward","Yes",123,61,"4","2",1.01808066759388,0.0180806675938815,59.9166666666666,"cst","3","2","2","2","1","4","numeric","dur",NA,124
154,25,"Man","Right-handed","4","Backward","Yes",124,75,"3","2",1.0392609699769,0.0392609699769034,72.1666666666668,"cst","4","3","2","3","1","4","numeric","dur",NA,124
155,28,"Woman","Right-handed","3","Backward","Yes",120,100,"3","2",0.962309542902964,-0.037690457097036,103.916666666667,"dec","3","4","1","4","1","5","numeric","dur",NA,124
156,26,"Man","Right-handed","6","Forward","Yes",124,100,"3","3",1.21926437715911,0.219264377159112,82.0166666666668,"cst","2","3","1","2","2","5","numeric","dur",NA,124
157,67,"Man","Left-handed","4","Forward","No",120,90,"2","3",1.00934579439252,0.00934579439252411,89.1666666666666,"cst","2","3","1","1","2","2","numeric","dur",NA,124
159,40,"Man","Right-handed","6","Backward","Yes",122,115,"3","2",1.04529616724738,0.0452961672473835,110.016666666667,"dec","3","4","1","3","1","4","numeric","dur",NA,124
160,20,"Man","Left-handed","3","Backward","Yes",124,110,"3","3",0.982874162323154,-0.0171258376768458,111.916666666667,"dec","2","3","2","2","3","5","numeric","dur",NA,124
161,61,"Woman","Right-handed","6","Forward","No",210,10,"4","2",0.825309491059145,-0.174690508940855,12.1166666666667,"acc","2","1","1","3","1","2","numeric","dur",NA,116
162,26,"Woman","Right-handed","1","Forward","Yes",176,10,"4","3",0.770218228498071,-0.229781771501929,12.9833333333334,"acc","4","2","1","3","1","3","numeric","dur",NA,116
163,24,"Woman","Left-handed","1","Backward","Yes",116,25,"3","3",1.20385232744783,0.203852327447831,20.7666666666667,"cst","3","2","1","3","1","2","numeric","dur",NA,116
164,49,"Woman","Right-handed","2","Backward","No",115,49,"3","3",1.59349593495934,0.593495934959344,30.7500000000001,"cst","3","2","1","2","1","2","numeric","dur",NA,116
165,29,"Man","Right-handed","2","Backward","Yes",116,40,"2","3",1.02739726027397,0.0273972602739734,38.9333333333333,"cst","3","3","3","3","1","4","numeric","dur",NA,116
166,25,"Woman","Right-handed","6","Forward","Yes",110,60,"1","3",1.26404494382022,0.264044943820224,47.4666666666667,"cst","2","2","1","2","3","4","numeric","dur",NA,116
167,70,"Woman","Right-handed","5","Backward","Yes",120,65,"4","2",1.18793786171185,0.18793786171185,54.7166666666666,"cst","3","3","1","2","1","2","numeric","dur",NA,116
168,26,"Man","Right-handed","2","Backward","No",122,70,"3","2",0.886824324324325,-0.113175675675675,78.9333333333333,"cst","3","1","3","2","4","2","numeric","dur",NA,116
169,29,"Man","Right-handed","2","Forward","Yes",114,75,"3","3",1.08695652173913,0.0869565217391304,69,"cst","2","1","2","3","3","3","numeric","dur",NA,116
170,39,"Man","Right-handed","4","Backward","Yes",120,85,"3","2",1.12161864965911,0.121618649659115,75.7833333333334,"cst","2","1","1","2","2","2","numeric","dur",NA,116
171,22,"Woman","Right-handed","4","Backward","No",126,80,"3","2",0.934579439252335,-0.0654205607476646,85.6000000000001,"cst","3","2","1","3","2","2","numeric","dur",NA,116
172,40,"Woman","Right-handed","5","Backward","Yes",120,100,"3","3",1.16822429906542,0.168224299065419,85.6000000000001,"cst","2","4","1","4","3","2","numeric","dur",NA,116
173,60,"Woman","Right-handed","4","Forward","No",120,90,"4","3",0.970001796299622,-0.0299982037003779,92.7833333333334,"cst","3","1","3","2","1","6","numeric","dur",NA,116
174,42,"Woman","Right-handed","1","Forward","Yes",120,110,"3","3",0.989356918003301,-0.0106430819966991,111.183333333333,"dec",NA,"1","1","2","2","2","numeric","dur",NA,116
