"","participants","age","sex","laterality","order","orientation","knwYesNo_est","knw_est","est","est_conf","est_meta","RE_est","ER_est","obj_est","ep_est","pot","homogeneity_pot","sadness","happiness","boredom","est_strat","format","type","outliers","theo_dur","ME","RME","ERM"
"158",173,60,"Woman","Right-handed",4,"Forward","No",120,91,4,3,0.980779594036285,-0.0192204059637155,92.7833333333334,"cst",3,1,3,2,1,6,"graphic","dur",NA,116,90.5,0.975390695167954,-0.0246093048320467
"159",174,42,"Woman","Right-handed",1,"Forward","Yes",120,113.333333333333,3,3,1.01933743067007,0.0193374306700675,111.183333333333,"dec",NA,1,1,2,2,2,"graphic","dur",NA,116,111.666666666667,1.00434717433669,0.0043471743366842
"160",175,29,"Woman","Right-handed",3,"Forward","Yes",110,80.3611111111111,2,3,0.774067533579491,-0.225932466420509,103.816666666667,"cst",3,3,1,2,3,4,"graphic","dur",NA,116,85.1805555555555,0.820490180339271,-0.179509819660729
"161",177,47,"Woman","Right-handed",2,"Backward","Yes",124,80.6,3,3,0.878474114441416,-0.121525885558584,91.7500000000001,"cst",3,3,2,3,2,4,"graphic","dur",NA,124,85.3,0.929700272479563,-0.0702997275204369
"162",178,40,"Woman","Right-handed",6,"Backward","Yes",124,99.5444444444445,4,3,1.00668576886342,0.00668576886341973,98.8833333333333,"cst",3,2,1,2,2,3,"graphic","dur",NA,124,99.7722222222222,1.00898926906006,0.00898926906005997
"163",179,54,"Man","Right-handed",1,"Forward","Yes",120,5.33333333333333,3,2,0.512000000000003,-0.487999999999997,10.4166666666666,"acc",3,3,2,3,2,4,"graphic","dur",NA,116,7.66666666666667,0.736000000000004,-0.263999999999995
"164",182,NA,"Man",NA,3,"Forward","Yes",124,53.0444444444444,2,3,0.893254747871644,-0.106745252128356,59.3833333333333,"cst",4,1,1,3,1,2,"graphic","dur",NA,124,51.5222222222222,0.867620918701469,-0.132379081298531
"165",187,45,"Man","Right-handed",1,"Forward","Yes",120,111.666666666667,3,3,1.02149717944808,0.0214971794480835,109.316666666667,"dec",3,2,2,2,3,2,"graphic","dur",NA,124,110.833333333333,1.01387406616862,0.0138740661686202
"166",188,38,"Man","Right-handed",6,"Forward","Yes",116,7.73333333333333,3,2,0.502708559046588,-0.497291440953412,15.3833333333333,"acc",3,2,1,3,3,2,"graphic","dur",NA,116,11.3666666666667,0.738894907908994,-0.261105092091006
"167",189,38,"Woman","Right-handed",2,"Backward","Yes",128,18.8444444444444,2,2,0.804744958481619,-0.195255041518381,23.4166666666665,"cst",3,2,1,2,2,2,"graphic","dur",NA,116,21.9222222222222,0.936180308422309,-0.063819691577692
"168",191,50,"Man","Right-handed",6,"Forward","Yes",124,31.3444444444444,3,2,0.687629494210846,-0.312370505789154,45.5833333333334,"cst",3,2,1,3,1,2,"graphic","dur",NA,124,30.6722222222222,0.672882388787324,-0.327117611212676
"169",192,21,"Man","Right-handed",2,"Forward","No",120,72.3333333333333,3,3,1.31236770486846,0.31236770486846,55.1166666666667,"cst",3,3,1,2,1,5,"graphic","dur",NA,124,58.6666666666667,1.06440882975506,0.0644088297550645
"170",194,63,"Man","Left-handed",3,"Forward","Yes",124,63.3777777777778,3,3,0.878011236819825,-0.121988763180175,72.1833333333334,"cst",2,2,2,2,2,3,"graphic","dur",NA,124,64.1888888888889,0.889248056645885,-0.110751943354115
"171",197,23,"Woman","Right-handed",2,"Forward","Yes",116,63.4777777777778,2,2,0.679512340172466,-0.320487659827534,93.4166666666666,"cst",3,2,1,2,1,2,"graphic","dur",NA,116,61.7388888888889,0.660898007731193,-0.339101992268807
"172",198,26,"Woman","Right-handed",1,"Backward","Yes",122,11.8611111111111,3,3,1.13866666666667,0.138666666666674,10.4166666666666,"acc",3,1,1,3,1,2,"graphic","dur",NA,116,13.4305555555556,1.28933333333334,0.289333333333341
"173",199,42,"Man","Left-handed",5,"Backward","Yes",116,21.9111111111111,3,2,0.977447335811651,-0.022552664188349,22.4166666666666,"cst",3,2,1,3,1,2,"graphic","dur",NA,116,23.4555555555555,1.0463444857497,0.0463444857496935
"174",200,30,"Man","Right-handed",6,"Forward","Yes",124,54.0777777777778,3,2,0.503439358675975,-0.496560641324025,107.416666666667,"dec",3,3,1,3,1,2,"graphic","dur",NA,116,89.5388888888889,0.833566071890353,-0.166433928109648
"175",201,35,"Man","Right-handed",2,"Forward","Yes",120,110,3,2,1.13851992409867,0.138519924098671,96.6166666666667,"cst",3,3,1,3,3,6,"graphic","dur",NA,116,107.5,1.11264447127825,0.112644471278247
"176",202,30,"Woman","Right-handed",4,"Forward","Yes",120,111.333333333333,3,3,1.10852970461335,0.108529704613346,100.433333333333,"dec",2,4,1,3,3,2,"graphic","dur",NA,116,108.166666666667,1.07699966810489,0.0769996681048825
"177",206,49,"Woman","Right-handed",4,"Forward","No",120,96.6666666666667,3,3,0.905966885348329,-0.0940331146516713,106.7,"cst",4,2,1,3,1,3,"graphic","dur",NA,124,100.833333333333,0.945017182130584,-0.0549828178694158
"179",208,41,"Woman","Left-handed",3,"Forward","Yes",120,14.3333333333333,3,2,0.66358024691358,-0.33641975308642,21.6,"cst",3,1,1,4,1,2,"graphic","dur",NA,124,17.1666666666667,0.794753086419753,-0.205246913580247
"180",209,72,"Man","Right-handed",4,"Forward","Yes",140,28.3888888888889,4,3,1.25245098039216,0.252450980392155,22.6666666666667,"cst",3,3,1,3,1,3,"graphic","dur",NA,124,26.6944444444444,1.17769607843138,0.177696078431371
"181",210,58,"Man","Right-handed",4,"Backward","Yes",120,78.6666666666667,3,3,0.750874960229078,-0.249125039770922,104.766666666667,"cst",3,3,2,3,2,5,"graphic","dur",NA,124,89.3333333333333,0.852688514158444,-0.147311485841555
"182",211,69,"Woman","Right-handed",6,"Backward","Yes",120,111.666666666667,3,2,0.998212157330152,-0.001787842669848,111.866666666667,"dec",NA,1,2,3,1,2,"graphic","dur",NA,124,110.833333333333,0.990762812872464,-0.0092371871275357
"183",212,55,"Woman","Right-handed",5,"Forward","Yes",120,31.3333333333333,2,3,1.51612903225806,0.516129032258062,20.6666666666667,"cst",3,2,2,2,1,2,"graphic","dur",NA,124,35.6666666666667,1.7258064516129,0.7258064516129
"184",213,50,"Man","Right-handed",5,"Forward","Yes",120,85.3333333333333,3,3,0.792079207920795,-0.207920792079205,107.733333333333,"dec",3,3,1,3,1,4,"graphic","dur",NA,124,93.6666666666667,0.86943069306931,-0.13056930693069
"185",214,31,"Woman","Right-handed",4,"Backward","Yes",139,105.794444444444,3,3,0.945719110051646,-0.0542808899483541,111.866666666667,"dec",3,2,1,3,1,2,"graphic","dur",NA,124,110.397222222222,0.986864322606273,-0.0131356773937257
"186",215,27,"Man","Right-handed",3,"Backward","No",135,133.875,3,1,1.12784330244313,0.127843302443134,118.7,"dec",4,NA,1,4,1,5,"graphic","dur",NA,124,134.4375,1.13258213984835,0.132582139848357
"187",216,24,"Woman","Left-handed",6,"Backward","Yes",120,6.33333333333333,3,2,0.670194003527342,-0.329805996472658,9.44999999999993,"acc",4,1,1,4,1,4,"graphic","dur",NA,116,5.66666666666667,0.599647266313937,-0.400352733686063
"188",217,37,"Woman","Right-handed",1,"Backward","Yes",120,11.6666666666667,3,2,0.75675675675675,-0.24324324324325,15.4166666666668,"acc",4,1,1,1,1,2,"graphic","dur",NA,116,10.8333333333333,0.702702702702697,-0.297297297297303
"189",218,21,"Man","Right-handed",5,"Forward","No",120,72.6666666666667,3,2,0.746064339493497,-0.253935660506503,97.4000000000001,"dec",3,1,1,2,2,2,"graphic","dur",NA,116,73.8333333333333,0.7580424366872,-0.2419575633128
"190",219,26,"Woman","Right-handed",2,"Backward","Yes",112,106.4,4,4,0.999686814907613,-0.000313185092386515,106.433333333333,"dec",3,4,2,2,1,2,"graphic","dur",NA,116,103.2,0.969621046038212,-0.0303789539617884
