"","participants","age","sex","laterality","order","orientation","knwYesNo_est","knw_est","est","est_conf","est_meta","RE_est","ER_est","obj_est","ep_est","pot","homogeneity_pot","sadness","happiness","boredom","est_strat","format","type","outliers","theo_dur","ME","RME","ERM"
"228",264,22,"Woman","Right-handed",5,"Forward","Yes",125,12.1527777777778,3,3,1.00298028427327,0.00298028427327476,12.1166666666666,"acc",3,1,2,3,1,2,"graphic","dur",NA,124,13.5763888888889,1.120472260431,0.120472260431001
"229",265,40,"Woman","Right-handed",3,"Forward","No",130,126.388888888889,3,2,1.17207624935601,0.172076249356006,107.833333333333,"dec",4,4,1,4,1,1,"graphic","dur",NA,116,115.694444444444,1.07290056671819,0.07290056671819
"230",266,27,"Man","Right-handed",3,"Backward","Yes",124,19.2888888888889,3,3,0.951754385964915,-0.0482456140350847,20.2666666666666,"cst",3,1,1,4,1,2,"graphic","dur",NA,124,22.1444444444444,1.09265350877193,0.0926535087719332
"231",267,56,"Woman","Right-handed",2,"Forward","Yes",140,32.2777777777778,3,2,1.59265350877193,0.592653508771935,20.2666666666666,"cst",3,3,NA,NA,3,1,"graphic","dur",NA,124,33.6388888888889,1.65981359649123,0.659813596491234
"232",268,30,"Woman","Left-handed",4,"Forward","Yes",123,103.866666666667,3,3,1.19158699808796,0.191586998087956,87.1666666666665,"cst",3,1,1,3,1,5,"graphic","dur",NA,124,101.933333333334,1.16940726577439,0.169407265774381
"233",269,27,"Woman","Left-handed",1,"Forward","Yes",126,79.1,3,3,0.893785310734462,-0.106214689265538,88.5000000000001,"cst",2,1,1,4,3,5,"graphic","dur",NA,124,77.05,0.870621468926553,-0.129378531073447
"234",270,66,"Man","Right-handed",6,"Backward","Yes",120,113,3,2,1.08950666880925,0.0895066688092525,103.716666666667,"cst",NA,1,3,3,3,2,"graphic","dur",NA,124,109,1.05094006106379,0.0509400610637922
"235",271,46,"Man","Left-handed",5,"Forward","Yes",125,16.6666666666667,3,2,0.822368421052634,-0.177631578947366,20.2666666666666,"cst",2,2,1,3,1,2,"graphic","dur",NA,124,15.8333333333333,0.781250000000002,-0.218749999999998
"236",272,56,"Woman","Right-handed",2,"Forward","Yes",120,11.3333333333333,3,2,1.01644245142004,0.0164424514200388,11.1499999999999,"acc",4,NA,2,2,1,5,"graphic","dur",NA,124,8.16666666666665,0.732436472346794,-0.267563527653207
"237",273,49,"Woman","Left-handed",4,"Backward","Yes",122,39.65,3,3,0.609375000000001,-0.390624999999999,65.0666666666666,"cst",3,2,1,3,2,5,"graphic","dur",NA,124,49.825,0.765753073770493,-0.234246926229507
"238",274,24,"Woman","Right-handed",6,"Forward","Yes",118,71.7833333333333,3,2,0.95753668297021,-0.0424633170297902,74.9666666666666,"cst",2,3,2,2,3,2,"graphic","dur",NA,124,70.8916666666667,0.945642507781237,-0.054357492218763
"239",276,21,"Man","Left-handed",1,"Backward","Yes",126,103.25,3,2,1.09743135518158,0.0974313551815758,94.0833333333334,"cst",3,1,1,3,3,4,"graphic","dur",NA,124,101.625,1.08015943312666,0.08015943312666
"240",278,35,"Man","Right-handed",6,"Backward","Yes",120,6,3,3,0.598006644518274,-0.401993355481726,10.0333333333333,"acc",2,2,1,3,1,5,"graphic","dur",NA,124,10.5,1.04651162790698,0.04651162790698
"241",279,21,"Man","Right-handed",5,"Forward","No",210,16.9166666666667,2,3,0.80173775671406,-0.19826224328594,21.1,"cst",3,2,1,3,1,2,"graphic","dur",NA,124,18.4583333333333,0.87480252764613,-0.12519747235387
"242",280,32,"Man","Right-handed",1,"Forward","No",120,59,3,2,0.795505617977529,-0.204494382022471,74.1666666666666,"cst",3,1,1,1,1,5,"graphic","dur",NA,124,59.5,0.802247191011237,-0.197752808988763
"243",281,60,"Man","Right-handed",2,"Forward","Yes",126,81.2,3,2,0.976352705410822,-0.0236472945891775,83.1666666666666,"cst",3,3,1,3,1,2,"graphic","dur",NA,124,83.1,0.999198396793586,-0.000801603206412
"244",282,39,"Man","Right-handed",3,"Forward","No",180,152.5,3,2,1.71284163234744,0.712841632347436,89.0333333333333,"cst",3,2,1,3,2,5,"graphic","dur",NA,124,146.25,1.64264320479222,0.642643204792213
"245",283,66,"Man","Right-handed",4,"Forward","Yes",120,68.6666666666667,4,3,0.723695766731073,-0.276304233268927,94.8833333333333,"cst",3,3,1,3,1,2,"graphic","dur",NA,124,59.3333333333333,0.625329351835588,-0.374670648164413
"246",284,50,"Man","Right-handed",4,"Forward","Yes",120,104.666666666667,4,4,1.03544929925804,0.0354492992580414,101.083333333333,"cst",3,2,2,3,2,5,"graphic","dur",NA,124,104.833333333333,1.03709810387469,0.0370981038746943
"247",285,24,"Woman","Right-handed",6,"Backward","Yes",120,87.6666666666667,3,2,0.867271228359442,-0.132728771640558,101.083333333333,"cst",3,3,1,3,1,5,"graphic","dur",NA,124,88.8333333333333,0.878812860676012,-0.121187139323988
"1100",1,NA,NA,NA,1,"Backward","No",600,290.322580645161,2,NA,1.86414909878747,0.864149098787474,155.74,"cst",2,3,1,4,1,1,"graphic","dist",NA,124,270.16129032258,1.73469430026057,0.734694300260567
"310",4,NA,NA,NA,6,"Backward","Yes",490,31.6129032258065,3,NA,4.15959252971138,3.15959252971138,7.6,"acc",2,3,1,3,2,2,"graphic","dist",NA,116,30.8064516129033,4.053480475382,3.05348047538201
"410",5,NA,NA,NA,5,NA,"No",500,48.3870967741935,2,NA,2.94504545186814,1.94504545186814,16.43,"acc",4,1,1,3,1,2,"graphic","dist",NA,116,39.1935483870968,2.3854868160132,1.38548681601319
"510",6,NA,NA,NA,3,NA,"No",500,459.677419354839,3,NA,1.074640372542,0.0746403725419957,427.75,"dec",4,3,1,4,1,6,"graphic","dist",NA,116,459.83870967742,1.07501743933938,0.0750174393393789
"610",7,NA,NA,NA,1,"Forward","No",490,221.290322580645,2,NA,0.95585643203596,-0.0441435679640399,231.51,"cst",3,1,1,3,1,2,"graphic","dist",NA,116,210.645161290323,0.909875000174172,-0.0901249998258279
"710",8,NA,NA,NA,2,"Forward","No",400,NA,3,NA,NA,NA,54.83,"cst",2,3,2,3,3,5,"graphic","dist",NA,116,30,0.547145723144264,-0.452854276855736
"810",9,NA,NA,NA,4,"Forward","No",400,180.645161290323,2,NA,1.45213152162639,0.452131521626387,124.4,"cst",3,2,1,4,1,1,"graphic","dist",NA,116,190.322580645162,1.52992428171352,0.529924281713515
"910",10,NA,NA,NA,6,"Forward","No",1000,435.483870967742,2,NA,1.88105857616406,0.881058576164062,231.51,"cst",3,1,1,3,1,1,"graphic","dist",NA,116,467.741935483871,2.02039624847251,1.02039624847251
"106",11,NA,NA,NA,1,"Backward","No",300,91.9354838709677,2,NA,0.743694255549003,-0.256305744450997,123.62,"cst",2,2,2,2,2,1,"graphic","dist",NA,116,95.9677419354838,0.77631242465203,-0.223687575347971
"1110",12,NA,NA,NA,3,"Forward","Yes",280,94.8387096774194,3,NA,0.62579155181405,-0.37420844818595,151.55,"cst",NA,NA,NA,NA,NA,6,"graphic","dist",NA,116,97.4193548387097,0.642819893360011,-0.357180106639989
"1210",13,NA,NA,NA,2,"Forward","Yes",300,96.7741935483871,3,NA,0.641568506685144,-0.358431493314856,150.84,"cst",2,2,2,3,2,2,"graphic","dist",NA,116,83.3870967741936,0.552818196593699,-0.447181803406301
"1310",14,NA,NA,NA,4,"Backward","Yes",425,239.91935483871,3,NA,1.55036739798843,0.550367397988431,154.75,"cst",3,3,1,2,1,3,"graphic","dist",NA,116,229.959677419355,1.48600760852572,0.486007608525718
"16",18,NA,NA,NA,1,"Backward","No",260,104.838709677419,2,NA,0.467445646858478,-0.532554353141522,224.28,"cst",3,3,1,3,1,6,"graphic","dist",NA,116,92.4193548387095,0.412071316384473,-0.587928683615526
"1710",19,NA,NA,NA,1,"Forward","No",375,199.596774193548,2,NA,0.913486380748505,-0.0865136192514948,218.5,"cst",3,3,2,3,2,6,"graphic","dist",NA,116,199.798387096774,0.914409094264413,-0.0855909057355872
"1810",20,NA,NA,NA,3,"Backward","No",400,309.677419354839,1,NA,1.04324693220199,0.0432469322019901,296.84,"cst",3,2,1,3,1,5,"graphic","dist",NA,116,254.83870967742,0.858505287957887,-0.141494712042112
"1910",21,NA,"Man",NA,3,"Forward","No",450,420.967741935484,3,NA,1.02146884872242,0.0214688487224203,412.12,"dec",3,2,1,2,1,2,"graphic","dist",NA,124,400.483870967742,0.971765192098762,-0.0282348079012377
"20",22,NA,NA,NA,5,"Forward","No",590,418.709677419355,3,NA,2.31254654489868,1.31254654489868,181.06,"cst",3,2,1,3,2,6,"graphic","dist",NA,116,384.354838709677,2.12280370435036,1.12280370435037
"2110",23,NA,NA,NA,1,"Backward","No",250,189.516129032258,3,NA,0.744689885780416,-0.255310114219584,254.49,"cst",4,2,1,4,2,3,"graphic","dist",NA,116,284.758064516129,1.11893616454921,0.118936164549212
"2210",24,NA,NA,NA,1,"Backward","No",600,382.258064516129,2,NA,1.50205534408475,0.502055344084754,254.49,"cst",3,3,1,3,2,3,"graphic","dist",NA,116,316.129032258065,1.24220610734435,0.242206107344354
"2310",25,NA,NA,NA,6,"Forward","No",400,296.774193548387,2,NA,0.942589148954699,-0.0574108510453008,314.85,"cst",4,NA,1,NA,1,1,"graphic","dist",NA,116,296.774193548387,0.942589148954699,-0.0574108510453008
"248",27,NA,NA,NA,3,"Forward","No",400,322.58064516129,2,NA,0.82079500562655,-0.17920499437345,393.01,"dec",4,3,1,3,1,2,"graphic","dist",NA,116,311.290322580645,0.79206718042962,-0.20793281957038
"251",28,NA,"Woman",NA,3,"Backward","No",400,309.677419354839,1,NA,0.998540674410211,-0.00145932558978905,310.13,"cst",1,1,1,2,4,1,"graphic","dist",NA,116,304.83870967742,0.982938476372551,-0.0170615236274486
"261",29,NA,NA,NA,6,"Forward","No",500,120.967741935484,1,NA,1.28279683918859,0.282796839188588,94.3,"cst",2,3,1,1,3,1,"graphic","dist",NA,124,160.483870967742,1.70184380665686,0.701843806656859
"271",30,NA,NA,NA,5,"Forward","No",450,108.870967741935,2,NA,1.25746093488029,0.25746093488029,86.58,"cst",3,2,1,4,3,3,"graphic","dist",NA,116,114.435483870968,1.32173116044084,0.321731160440838
"281",31,NA,NA,NA,5,"Forward","No",750,254.032258064516,1,NA,2.77813055626111,1.77813055626111,91.44,"cst",3,1,1,4,1,1,"graphic","dist",NA,116,277.016129032258,3.02948522563711,2.02948522563711
"291",32,NA,NA,NA,2,"Backward","No",350,217.338709677419,3,NA,0.908872620237609,-0.0911273797623913,239.13,"cst",2,1,1,3,2,5,"graphic","dist",NA,116,203.669354838709,0.851709759706895,-0.148290240293106
"301",33,NA,NA,NA,6,"Backward","No",500,326.612903225806,3,NA,1.10877856952781,0.108778569527808,294.57,"cst",3,2,1,3,1,3,"graphic","dist",NA,116,313.306451612903,1.06360610928779,0.0636061092877863
"311",34,NA,NA,NA,6,"Forward","No",450,225,2,NA,0.674622211561526,-0.325377788438474,333.52,"cst",2,2,1,3,1,1,"graphic","dist",NA,116,212.5,0.637143199808108,-0.362856800191892
"321",35,NA,NA,NA,2,"Forward","No",400,361.290322580645,1,NA,1.57178422770663,0.571784227706626,229.86,"cst",3,2,1,3,1,6,"graphic","dist",NA,116,355.645161290323,1.54722509914871,0.54722509914871
"331",36,NA,NA,NA,4,"Forward","No",550,408.064516129032,2,NA,1.13911318462728,0.139113184627285,358.23,"cst",2,2,1,3,3,5,"graphic","dist",NA,116,394.032258064516,1.0999420988318,0.0999420988318012
"341",38,NA,"Man",NA,1,"Forward","No",550,381.451612903226,2,NA,1.04840482877975,0.0484048287797543,363.84,"cst",2,1,1,3,3,3,"graphic","dist",NA,116,365.725806451613,1.00518306522541,0.0051830652254093
"361",40,NA,"Man",NA,4,"Forward","No",530,25.6451612903226,2,NA,1.51209677419355,0.512096774193548,16.96,"acc",3,3,1,3,3,2,"graphic","dist",NA,124,27.8225806451613,1.64048234936093,0.640482349360925
"371",41,NA,"Man",NA,5,"Forward","No",500,169.354838709677,3,NA,2.43711093264754,1.43711093264754,69.49,"cst",4,1,1,3,1,2,"graphic","dist",NA,124,134.677419354838,1.93808345596257,0.938083455962567
"381",42,NA,"Woman",NA,4,"Backward","No",583,517.177419354839,2,NA,1.24321495037221,0.243214950372208,416,"dec",4,1,1,2,1,5,"graphic","dist",NA,124,508.58870967742,1.22256901364765,0.222569013647643
"391",43,NA,"Woman",NA,5,"Forward","No",400,12.9032258064516,3,NA,1.42892866073661,0.428928660736613,9.03,"acc",4,1,2,3,1,2,"graphic","dist",NA,124,11.4516129032258,1.26817418640374,0.268174186403744
"401",46,NA,"Woman",NA,3,"Forward","No",540,NA,2,NA,NA,NA,5.48,"acc",1,2,3,2,1,6,"graphic","dist",NA,124,5,0.912408759124087,-0.0875912408759125
"411",47,NA,"Woman",NA,2,"Forward","No",500,254.032258064516,2,NA,2.6597451373104,1.6597451373104,95.51,"cst",2,3,2,2,3,5,"graphic","dist",NA,116,227.016129032258,2.37688335286628,1.37688335286627
"421",48,NA,"Woman",NA,1,"Forward","No",450,166.935483870968,2,NA,1.65102842321202,0.651028423212024,101.11,"cst",3,2,1,4,2,5,"graphic","dist",NA,116,173.467741935484,1.71563388325076,0.715633883250755
"431",49,NA,"Woman",NA,6,"Backward","No",550,408.064516129032,3,NA,1.20192193493279,0.201921934932792,339.51,"cst",2,4,1,3,3,2,"graphic","dist",NA,116,399.032258064516,1.17531812925839,0.175318129258391
"441",50,NA,"Man",NA,5,"Forward","No",470,379.032258064516,3,NA,1.00549728900816,0.00549728900816034,376.96,"cst",3,1,1,2,2,5,"graphic","dist",NA,116,364.516129032258,0.966988882195081,-0.0330111178049181
"451",51,NA,"Man",NA,2,"Backward","Yes",500,217.741935483871,3,NA,0.960484938173229,-0.0395150618267711,226.7,"cst",4,3,1,2,1,2,"graphic","dist",NA,116,208.870967741935,0.921354070321727,-0.0786459296782731
"461",52,NA,"Woman",NA,4,"Backward","Yes",480,NA,3,NA,NA,NA,167.21,"cst",4,3,1,3,1,1,"graphic","dist",NA,116,250,1.4951258895999,0.495125889599904
"471",53,NA,"Man",NA,2,"Backward","Yes",500,330.645161290323,2,NA,1.02420828699415,0.0242082869941535,322.83,"cst",3,2,1,1,2,2,"graphic","dist",NA,116,325.322580645162,1.00772103164254,0.00772103164254033
"481",55,NA,"Man",NA,3,"Backward","No",300,154.838709677419,3,NA,2.04515532528622,1.04515532528622,75.71,"cst",3,3,1,3,1,5,"graphic","dist",NA,124,127.419354838709,1.68299240310012,0.682992403100117
"491",56,NA,"Woman",NA,6,"Forward","No",650,597.58064516129,2,NA,1.41282040135539,0.412820401355392,422.97,"dec",2,2,3,1,3,5,"graphic","dist",NA,124,616.290322580645,1.45705445440727,0.457054454407275
"501",57,NA,"Woman",NA,5,"Forward","No",500,419.354838709677,2,NA,1.04773226410913,0.0477322641091254,400.25,"dec",3,1,1,3,1,2,"graphic","dist",NA,124,409.677419354838,1.02355382724507,0.0235538272450686
"511",58,NA,"Woman",NA,1,"Backward","No",400,374.193548387097,3,NA,0.88091140916968,-0.11908859083032,424.78,"dec",3,3,1,4,1,2,"graphic","dist",NA,124,374.596774193549,0.881860667153699,-0.118139332846301
"521",59,NA,"Woman",NA,5,"Backward","Yes",500,330.645161290323,3,NA,1.43877621204614,0.438776212046136,229.81,"cst",3,2,1,2,1,3,"graphic","dist",NA,116,315.322580645162,1.37210121685375,0.372101216853754
"531",60,NA,"Woman",NA,2,"Forward","No",350,28.2258064516129,3,NA,5.77214855861205,4.77214855861205,4.89,"acc",2,2,1,3,1,2,"graphic","dist",NA,124,26.6129032258064,5.44231149811993,4.44231149811993
"541",61,NA,"Man",NA,3,"Backward","No",380,55.1612903225806,3,NA,0.594282377963592,-0.405717622036408,92.82,"cst",3,2,1,3,2,2,"graphic","dist",NA,116,52.5806451612903,0.566479693614419,-0.433520306385581
"551",62,NA,"Man",NA,5,"Forward","No",400,193.548387096774,3,NA,0.879126031507877,-0.120873968492123,220.16,"cst",4,1,1,2,1,5,"graphic","dist",NA,116,196.774193548387,0.893778132033008,-0.106221867966992
"561",63,NA,"Woman",NA,6,"Backward","No",500,370.967741935484,2,NA,1.39961419330498,0.399614193304976,265.05,"cst",3,2,3,1,1,2,"graphic","dist",NA,116,385.483870967742,1.45438170521691,0.45438170521691
"571",64,NA,"Woman",NA,2,"Forward","Yes",500,346.774193548387,3,NA,1.05752857048698,0.0575285704869844,327.91,"cst",3,1,1,3,1,2,"graphic","dist",NA,116,348.387096774194,1.06244730802413,0.0624473080241332
"581",65,NA,"Man",NA,2,"Forward","No",520,293.548387096774,3,NA,0.88301163246533,-0.11698836753467,332.44,"cst",3,3,1,3,1,3,"graphic","dist",NA,116,271.774193548387,0.817513516870374,-0.182486483129626
"591",66,NA,"Woman",NA,6,"Backward","No",300,193.548387096774,1,NA,0.535610989309205,-0.464389010690795,361.36,"cst",4,2,3,2,1,1,"graphic","dist",NA,116,196.774193548387,0.544537839131025,-0.455462160868975
"60",67,NA,"Woman",NA,1,"Forward","No",300,43.5483870967742,2,NA,5.83758540171236,4.83758540171236,7.46,"acc",3,2,1,4,1,5,"graphic","dist",NA,124,22.7741935483871,3.05284095822883,2.05284095822883
"611",69,NA,"Man",NA,4,"Forward","Yes",450,333.870967741935,2,NA,1.27315042610561,0.273150426105611,262.24,"cst",4,2,1,3,1,2,"graphic","dist",NA,124,326.935483870967,1.24670333995945,0.246703339959456
"621",70,NA,"Woman",NA,3,"Forward","No",400,309.677419354839,1,NA,1.05053741554664,0.0505374155466407,294.78,"cst",4,2,1,4,1,2,"graphic","dist",NA,124,304.83870967742,1.03412276842873,0.0341227684287244
"631",71,NA,"Woman",NA,4,"Backward","No",500,346.774193548387,2,NA,1.10836511505861,0.108365115058609,312.87,"cst",4,1,1,3,1,4,"graphic","dist",NA,116,348.387096774194,1.11352030164028,0.113520301640277
"641",72,NA,"Woman",NA,1,"Forward","No",400,45.1612903225806,1,NA,4.19714594076028,3.19714594076028,10.76,"acc",3,2,1,3,1,2,"graphic","dist",NA,116,37.5806451612903,3.49262501498981,2.4926250149898
"651",73,NA,"Woman",NA,2,"Forward","No",500,40.3225806451613,3,NA,1.69565099432974,0.695650994329743,23.78,"acc",3,3,1,3,3,2,"graphic","dist",NA,116,45.1612903225807,1.89912911364931,0.899129113649312
"661",74,NA,"Man",NA,4,"Forward","Yes",600,193.548387096774,3,NA,1.40405068622977,0.404050686229773,137.85,"cst",4,3,1,2,2,5,"graphic","dist",NA,116,196.774193548387,1.42745153100027,0.427451531000269
"671",75,NA,"Man",NA,6,"Forward","No",450,159.677419354839,2,NA,0.922457650807849,-0.0775423491921506,173.1,"cst",4,2,1,2,1,3,"graphic","dist",NA,116,169.83870967742,0.981159501313804,-0.0188404986861966
"681",76,NA,"Woman",NA,5,"Backward","Yes",500,258.064516129032,2,NA,0.947164780624797,-0.0528352193752027,272.46,"cst",3,2,1,3,3,5,"graphic","dist",NA,116,254.032258064516,0.932365330927535,-0.0676346690724652
"691",77,NA,"Man",NA,3,"Backward","No",620,420,2,NA,1.36045607670381,0.360456076703809,308.72,"cst",3,NA,1,3,3,5,"graphic","dist",NA,116,410,1.32806426535372,0.328064265353719
"701",78,NA,"Woman",NA,6,"Backward","No",500,258.064516129032,1,NA,0.885997583441591,-0.114002416558409,291.27,"cst",3,2,1,4,1,5,"graphic","dist",NA,116,279.032258064516,0.95798488709622,-0.0420151129037796
"711",79,NA,"Woman",NA,1,"Forward","No",400,238.709677419355,2,NA,0.733588437060095,-0.266411562939905,325.4,"cst",2,1,2,3,3,1,"graphic","dist",NA,116,269.354838709677,0.827765331006999,-0.172234668993001
"721",80,NA,"Man",NA,4,"Backward","No",400,38.7096774193548,2,NA,5.79486188912498,4.79486188912498,6.68,"acc",3,1,1,3,1,1,"graphic","dist",NA,124,29.3548387096774,4.39443693258644,3.39443693258644
"731",81,NA,"Man",NA,5,"Backward","No",490,63.2258064516129,2,NA,2.01677213561764,1.01677213561764,31.35,"acc",2,2,1,3,1,2,"graphic","dist",NA,124,69.1129032258064,2.20455831661265,1.20455831661265
"741",82,NA,"Woman",NA,3,"Forward","No",400,200,2,NA,0.871345793578182,-0.128654206421818,229.53,"cst",2,2,1,2,2,1,"graphic","dist",NA,124,200,0.871345793578182,-0.128654206421818
"751",83,NA,"Woman",NA,2,"Backward","No",480,356.129032258064,2,NA,1.36379976355863,0.363799763558628,261.13,"cst",NA,2,NA,3,3,3,"graphic","dist",NA,124,338.064516129032,1.29462151468246,0.294621514682466
"761",85,NA,"Man",NA,1,"Backward","Yes",500,431.451612903226,3,NA,1.17825007620085,0.178250076200846,366.18,"cst",3,1,1,3,1,2,"graphic","dist",NA,124,440.725806451613,1.20357694699769,0.203576946997687
"771",86,NA,"Man",NA,2,"Forward","No",650,524.193548387097,3,NA,1.64757841459359,0.64757841459359,318.16,"cst",3,2,1,3,2,3,"graphic","dist",NA,124,557.096774193549,1.75099564430962,0.750995644309619
"781",87,NA,"Man",NA,5,"Backward","No",500,463.709677419355,3,NA,1.21549063543737,0.215490635437365,381.5,"cst",4,2,1,3,3,3,"graphic","dist",NA,124,466.854838709677,1.22373483279077,0.223734832790767
"791",88,NA,"Man",NA,3,"Forward","Yes",450,7.25806451612903,3,NA,0.388755464174024,-0.611244535825976,18.67,"acc",2,2,1,2,3,5,"graphic","dist",NA,116,8.62903225806452,0.46218705185134,-0.53781294814866
"801",89,NA,"Man",NA,6,"Forward","No",450,87.0967741935484,3,NA,1.22636967324061,0.226369673240614,71.02,"cst",3,4,1,3,2,3,"graphic","dist",NA,116,93.5483870967742,1.31721187125844,0.317211871258437
"811",90,NA,"Man",NA,6,"Backward","No",450,254.032258064516,3,NA,2.45821809623104,1.45821809623104,103.34,"cst",2,3,1,3,3,2,"graphic","dist",NA,116,202.016129032258,1.95486867652659,0.95486867652659
"821",91,NA,"Man",NA,2,"Forward","No",400,103.225806451613,2,NA,0.760131122618652,-0.239868877381348,135.8,"cst",3,2,1,3,2,3,"graphic","dist",NA,116,101.612903225806,0.748254073827735,-0.251745926172264
"841",93,NA,"Man",NA,4,"Forward","No",400,193.548387096774,3,NA,0.749867835793941,-0.250132164206059,258.11,"cst",2,1,1,3,2,3,"graphic","dist",NA,116,196.774193548387,0.762365633057174,-0.237634366942826
"851",94,NA,"Man",NA,3,"Forward","No",450,297.58064516129,3,NA,1.06119622409703,0.0611962240970341,280.42,"cst",3,2,2,3,2,5,"graphic","dist",NA,116,323.790322580645,1.1546620161923,0.154662016192302
"861",95,NA,"Woman",NA,1,"Forward","No",600,464.516129032258,2,NA,1.19671302821583,0.196713028215834,388.16,"cst",3,3,1,4,1,5,"graphic","dist",NA,116,432.258064516129,1.11360795681196,0.113607956811957
"871",96,NA,"Man",NA,6,"Forward","No",450,391.935483870968,2,NA,0.951646191261303,-0.0483538087386968,411.85,"dec",3,3,1,3,1,5,"graphic","dist",NA,116,410.967741935484,0.997857817009796,-0.00214218299020555
"881",97,NA,"Woman",NA,5,"Forward","No",400,6.45161290322581,3,NA,0.929627219484986,-0.0703727805150136,6.94,"acc",2,2,1,2,1,3,"graphic","dist",NA,124,8.2258064516129,1.18527470484336,0.185274704843358
"901",99,NA,"Woman",NA,2,"Forward","No",500,56.4516129032258,2,NA,1.28269967969157,0.282699679691566,44.01,"acc",3,3,1,3,1,2,"graphic","dist",NA,124,53.2258064516129,1.20940255513776,0.209402555137762
"91",100,NA,"Man",NA,1,"Forward","Yes",500,181.451612903226,3,NA,2.06218448577368,1.06218448577368,87.99,"cst",4,1,1,4,1,6,"graphic","dist",NA,124,200.725806451613,2.28123430448475,1.28123430448475
"921",101,NA,"Man",NA,4,"Forward","No",380,214.516129032258,3,NA,1.04902992338138,0.0490299233813783,204.49,"cst",3,3,1,2,2,2,"graphic","dist",NA,124,232.258064516129,1.13579179674375,0.135791796743748
"931",102,NA,"Man",NA,2,"Backward","No",250,173.387096774194,2,NA,0.676183982428022,-0.323816017571978,256.42,"cst",2,2,3,2,3,3,"graphic","dist",NA,124,166.693548387097,0.650080135664522,-0.349919864335478
"941",104,NA,"Woman",NA,5,"Backward","No",450,304.838709677419,2,NA,0.936553226450642,-0.0634467735493583,325.49,"cst",3,2,2,3,2,6,"graphic","dist",NA,124,277.41935483871,0.852312989150849,-0.147687010849152
"951",105,NA,"Man",NA,4,"Forward","No",350,259.677419354839,2,NA,0.705798595767663,-0.294201404232337,367.92,"cst",3,3,1,3,2,5,"graphic","dist",NA,124,274.83870967742,0.747006712539191,-0.252993287460809
"981",111,23,"Woman","Left-handed",5,"Forward","Yes",390,69.1935483870968,3,NA,0.805981926465892,-0.194018073534108,85.85,"cst",3,3,2,2,3,2,"graphic","dist",NA,116,64.5967741935484,0.752437672609766,-0.247562327390234
"991",112,22,"Man","Left-handed",4,"Backward","No",400,258.064516129032,3,NA,0.794313509584882,-0.205686490415118,324.89,"cst",2,3,1,3,2,5,"graphic","dist",NA,116,254.032258064516,0.781902360997618,-0.218097639002382
"1001",113,31,"Man","Right-handed",1,"Backward","No",350,197.58064516129,2,NA,0.608146280775925,-0.391853719224075,324.89,"cst",2,1,1,3,1,3,"graphic","dist",NA,116,228.790322580645,0.704208570841347,-0.295791429158654
"1011",114,31,"Man","Right-handed",1,"Backward","No",350,197.58064516129,2,NA,0.608146280775925,-0.391853719224075,324.89,"cst",2,1,1,3,1,3,"graphic","dist",NA,116,228.790322580645,0.704208570841347,-0.295791429158654
"1021",115,32,"Man","Right-handed",3,"Backward","No",300,191.129032258065,2,NA,0.509663828319417,-0.490336171680583,375.01,"cst",3,4,1,3,1,1,"graphic","dist",NA,116,170.564516129032,0.454826580968594,-0.545173419031406
"1031",116,30,"Man","Right-handed",4,"Forward","No",200,103.225806451613,2,NA,0.271968927550027,-0.728031072449973,379.55,"cst",3,1,1,4,1,1,"graphic","dist",NA,116,201.612903225806,0.531189311621147,-0.468810688378853
"1041",117,NA,NA,NA,2,"Forward","No",400,225.806451612903,2,NA,0.703929333539819,-0.296070666460181,320.78,"cst",3,3,3,1,1,2,"graphic","dist",NA,116,222.903225806452,0.694878813537165,-0.305121186462835
"1051",118,24,"Woman","Right-handed",5,"Forward","No",300,183.870967741935,2,NA,0.500656123024385,-0.499343876975615,367.26,"cst",2,2,1,3,2,1,"graphic","dist",NA,116,191.935483870968,0.522614724911419,-0.477385275088581
"1071",120,NA,"Man","Right-handed",2,"Forward","No",500,76.6129032258064,3,NA,1.69835742021296,0.698357420212956,45.11,"cst",4,3,1,4,1,5,"graphic","dist",NA,124,78.3064516129032,1.73590005792293,0.735900057922926
"1081",121,29,"Woman","Right-handed",1,"Backward","No",500,161.290322580645,2,NA,0.91481097260873,-0.0851890273912702,176.31,"cst",3,3,1,2,1,3,"graphic","dist",NA,124,155.645161290323,0.882792588567424,-0.117207411432576
"1091",122,53,"Woman","Left-handed",4,"Backward","No",300,99.1935483870968,2,NA,0.475497571483135,-0.524502428516865,208.61,"cst",4,1,1,3,1,2,"graphic","dist",NA,124,99.5967741935484,0.477430488440383,-0.522569511559617
"1101",123,61,"Woman","Right-handed",6,"Forward","No",500,274.193548387097,2,NA,1.13919792424736,0.139197924247359,240.69,"cst",2,3,2,2,1,5,"graphic","dist",NA,124,212.096774193548,0.881203100226634,-0.118796899773366
"1111",124,43,"Woman","Right-handed",5,"Forward","No",500,370.967741935484,3,NA,1.38096170172908,0.380961701729084,268.63,"cst",3,1,1,3,1,2,"graphic","dist",NA,124,385.483870967742,1.43499933353587,0.434999333535874
"1121",125,64,"Man","Right-handed",3,"Forward","No",350,299.193548387097,2,NA,0.788409571759722,-0.211590428240278,379.49,"dec",3,2,1,3,1,5,"graphic","dist",NA,124,274.596774193549,0.723594229606969,-0.276405770393031
